Humedal,Comuna,Cuenca,Percentil_empirico,Acumulado_corregido_mm,Anomalia_pct,Susceptibilidad_inundacion,Amenaza_inundacion,Clase_amenaza,Retencion_suelo,Fuente_suelo
Humedal Sector Esteros de la Laja,Concón,Rio Aconcagua,93.8,133.0,261.5,0.448,0.393,Alta,0.55,CIREN
Embalse 1 San Felipe,San Felipe,Rio Aconcagua,87.5,84.5,101.0,0.414,0.31,Moderada,0.589,CIREN
Humedales Sector Los Maitenes,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.657,0.493,Muy Alta,1.0,CIREN
Embalse 3 Catemu,Catemu,Rio Aconcagua,87.5,124.3,183.6,0.341,0.256,Baja,0.74,CIREN
Tranque Antiguo,Catemu,Rio Aconcagua,87.5,124.3,183.6,0.394,0.296,Moderada,0.767,CIREN
Tranque Antiguo,Catemu,Rio Aconcagua,87.5,124.3,183.6,0.258,0.194,Muy Baja,0.442,CIREN
Estero Puchuncavi - Campiche,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.694,0.52,Muy Alta,1.0,CIREN
Estero Puchuncavi - Campiche,Quintero,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.575,0.431,Muy Alta,1.0,CIREN
Sector Quintero N°9,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.671,0.503,Muy Alta,1.0,CIREN
Estero Los Molles,La Ligua,Costeras Quilimari-Petorca,90.6,92.4,258.0,0.562,0.456,Muy Alta,0.236,FAO
Sin identificar,La Ligua,Rio Petorca,93.8,115.0,270.0,0.465,0.407,Muy Alta,0.442,CIREN
Quebrada Talcalan,Papudo,Rio Ligua,93.8,115.0,270.0,0.718,0.629,Muy Alta,0.0,CIREN
Sin identificar,Papudo,Rio Ligua,87.5,96.9,211.7,0.449,0.337,Alta,0.621,CIREN
Humedal Sector El Alto,Puchuncaví,Costeras Ligua-Aconcagua,87.5,96.3,177.4,0.598,0.449,Muy Alta,1.0,CIREN
Sector Quintero N°10,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.206,0.154,Muy Baja,0.236,FAO
Petras Quintero,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.176,0.132,Muy Baja,0.236,FAO
Humedal Sector Las Gaviotas,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.285,0.213,Muy Baja,0.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.47,0.353,Alta,0.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.351,0.263,Baja,0.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.376,0.282,Baja,0.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.718,0.539,Muy Alta,1.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.44,0.33,Moderada,0.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.553,0.415,Muy Alta,1.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.778,0.584,Muy Alta,1.0,CIREN
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.675,0.506,Muy Alta,1.0,CIREN
Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,87.5,67.5,94.5,0.824,0.618,Muy Alta,1.0,CIREN
Estero Reñaca,Viña del Mar,Costeras entre Aconcagua y Maipo,90.6,113.6,208.7,0.465,0.377,Alta,0.236,FAO
Estero Limache,Concón,Rio Aconcagua,93.8,126.4,243.5,0.644,0.565,Muy Alta,0.717,FAO
Estero Limache,Concón,Rio Aconcagua,93.8,126.4,243.5,0.52,0.455,Muy Alta,0.717,FAO
Estero Limache,Limache,Rio Aconcagua,93.8,126.4,243.5,0.658,0.576,Muy Alta,0.55,CIREN
Estero Limache,Concón,Rio Aconcagua,93.8,126.4,243.5,0.351,0.308,Moderada,0.0,CIREN
Estero San Juan,San Antonio,Rio Maipo,78.1,58.3,39.2,0.595,0.334,Alta,0.379,CIREN
Estero El Jote,Casablanca,Costeras entre Aconcagua y Maipo,93.8,127.2,228.4,0.534,0.468,Muy Alta,0.55,CIREN
Humedal Estero Guaquen,La Ligua,Costeras Quilimari-Petorca,90.6,97.7,278.5,0.539,0.437,Muy Alta,0.717,FAO
Sin identificar,La Ligua,Rio Petorca,93.8,115.0,270.0,0.482,0.422,Muy Alta,0.553,FAO
Des. Estero Curaumilla,Valparaíso,Costeras entre Aconcagua y Maipo,90.6,107.2,191.4,0.525,0.427,Muy Alta,0.9,CIREN
Estero El Membrillo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.429,0.322,Moderada,0.329,CIREN
Estero El Membrillo,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.556,0.347,Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.5,0.375,Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.539,0.404,Muy Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.576,0.359,Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.584,0.438,Muy Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.327,0.245,Baja,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.56,0.42,Muy Alta,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.316,0.237,Baja,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.294,0.221,Muy Baja,0.0,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.629,0.472,Muy Alta,0.379,CIREN
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.682,0.511,Muy Alta,0.379,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.332,0.207,Muy Baja,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,81.2,71.6,75.7,0.5,0.312,Moderada,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.584,0.438,Muy Alta,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.307,0.23,Baja,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.536,0.402,Muy Alta,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.529,0.397,Alta,0.0,CIREN
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,87.5,79.2,104.5,0.761,0.571,Muy Alta,0.379,CIREN
Estero Cartagena,Cartagena,Costeras entre Aconcagua y Maipo,81.2,64.5,58.3,0.489,0.305,Moderada,0.329,CIREN
Estero del Rosario de Cordova,Casablanca,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.394,0.246,Baja,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.524,0.327,Moderada,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.686,0.428,Muy Alta,0.379,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.679,0.424,Muy Alta,0.717,FAO
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.759,0.473,Muy Alta,0.9,CIREN
