nom_humed,comuna,serie_suelo,textura,permeabilidad,drenaje,cap_campo_pct,arcilla_pct,inundacion,expo_suelo,fuente_suelo
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Santo Domingo,ASOCIACION LA MANGA,MODERADAMENTE FINA,LENTA,BUENO,,,NO EXISTE,0.6,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Santo Domingo,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Santo Domingo,SANTO DOMINGO,MODERADAMENTE GRUESA,MODERADA,BUENO,,6.1,NO EXISTE,0.271,CIREN
Sin información,San Antonio,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,San Antonio,NO SUELOS,,,,,,,,none
Sin información,San Antonio,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,San Antonio,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,San Antonio,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,San Antonio,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Humedal Sector Qda. Los Alamos,San Antonio,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Humedal Sector Industrial,San Antonio,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Cartagena,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Cartagena,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Cartagena,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Cartagena,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Cartagena,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Cartagena,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,El Tabo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sector Punta de Tralca N°3,El Quisco,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
