nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Estero del Rosario de Cordova,El Quisco,16.0,16.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,17.0,17.0,1.0,1.0
Estero del Rosario de Cordova,El Quisco,28.0,28.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,6.0,6.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,22.0,22.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,7.0,7.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,33.0,43.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,4.0,4.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,25.0,25.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,19.0,19.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,1.0,1.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,24.0,24.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,12.0,12.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,31.0,31.0,1.0,1.0
Estero del Rosario de Cordova,El Tabo,1.0,1.0,1.0,1.0
Estero La Cigüeña,Cartagena,20.0,20.0,1.0,1.0
Estero La Cigüeña,Cartagena,10.0,10.0,1.0,1.0
Estero La Cigüeña,El Tabo,20.0,20.0,1.0,1.0
Estero La Cigüeña,El Tabo,5.0,5.0,1.0,1.0
Estero La Cigüeña,El Tabo,16.0,16.0,1.0,1.0
Quebrada Los Hualpes,Casablanca,23.0,23.0,1.0,1.0
Estero Las Tablas,Valparaíso,22.0,22.0,1.0,1.0
Estero del Sauce,Valparaíso,15.0,15.0,1.0,1.0
Estero Mantagua,Quintero,54.0,54.0,1.0,1.0
Estero Los Molles,La Ligua,4.0,4.0,1.0,1.0
Estero El Pangal,La Ligua,1.0,1.0,1.0,1.0
Humedal Pichicuy,La Ligua,4.0,4.0,1.0,1.0
