nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,337.9,4.91,13,10.61,0.434,0.867,0.434,0.65
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,298.0,2.97,1,9.17,0.273,0.8,0.273,0.536
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,263.3,0.35,1,11.31,0.511,0.867,0.511,0.689
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,272.9,0.28,2,11.95,0.582,0.8,0.582,0.691
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,255.0,2.68,1,9.28,0.284,0.65,0.284,0.467
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,285.7,0.55,2,11.27,0.507,0.8,0.507,0.654
Sin información,Algarrobo,Humedal no asociado a límite urbano,3.9,272.2,271.9,1.13,1,10.14,0.381,0.65,0.381,0.516
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,267.7,0.32,1,11.41,0.523,0.8,0.523,0.662
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,266.8,0.48,3,11.68,0.553,0.8,0.553,0.676
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,280.0,2.98,3,9.86,0.35,0.867,0.35,0.608
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,288.9,1.5,2,10.26,0.395,0.8,0.395,0.597
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,277.6,2.96,2,9.58,0.318,0.867,0.318,0.592
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,273.9,0.27,1,11.59,0.542,0.8,0.542,0.671
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,262.0,1.59,3,10.49,0.42,1.0,0.42,0.71
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,304.8,4.73,4,9.62,0.323,1.0,0.323,0.662
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,253.9,0.42,218,15.83,1.0,1.0,1.0,1.0
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,300.4,1.52,54,13.16,0.718,0.835,0.718,0.776
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,273.2,2.25,3,10.15,0.381,0.737,0.381,0.559
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,273.2,2.25,3,10.15,0.381,0.737,0.381,0.559
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,307.9,1.7,4,10.65,0.437,0.737,0.437,0.587
Sin información,Algarrobo,Humedal no asociado a límite urbano,5.01,345.9,293.7,5.69,8,10.03,0.368,0.835,0.368,0.601
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,253.4,0.63,5319,18.62,1.0,1.0,1.0,1.0
Sin información,Algarrobo,Humedal no asociado a límite urbano,5.01,345.9,395.2,4.38,8,10.29,0.397,0.835,0.397,0.616
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,334.1,1.87,1,9.64,0.324,0.737,0.324,0.53
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,338.6,1.81,2,10.08,0.373,0.737,0.373,0.555
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,296.7,1.35,1,9.97,0.361,0.855,0.361,0.608
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,280.9,0.74,8,12.07,0.596,0.855,0.596,0.726
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,252.9,0.18,46,15.12,0.936,1.0,0.936,0.968
Sin información,Algarrobo,Humedal no asociado a límite urbano,5.01,345.9,353.0,2.91,25,11.76,0.561,0.835,0.561,0.698
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,254.8,0.62,1,10.75,0.449,0.835,0.449,0.642
Humedal Sector Tunquen 1,Algarrobo,Humedal asociado a límite urbano,4.42,311.9,293.8,0.82,1,10.46,0.416,0.737,0.416,0.576
Humedal Sector Tunquen 2,Algarrobo,Humedal asociado a límite urbano,4.42,311.9,289.8,1.43,1,9.91,0.354,0.737,0.354,0.545
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,255.8,0.41,2,11.55,0.538,1.0,0.538,0.769
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,254.7,0.27,1,11.59,0.542,1.0,0.542,0.771
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,266.2,1.37,2,10.35,0.404,1.0,0.404,0.702
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,299.3,0.58,1,10.81,0.455,0.737,0.455,0.596
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,299.7,0.63,1,10.72,0.446,0.737,0.446,0.591
Sin información,Algarrobo,Humedal no asociado a límite urbano,5.01,345.9,366.3,2.04,9,11.16,0.494,0.835,0.494,0.664
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,257.2,1.35,2,10.37,0.406,1.0,0.406,0.703
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,272.3,3.18,2,9.51,0.31,1.0,0.31,0.655
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,367.2,2.39,2,9.79,0.342,0.737,0.342,0.539
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,261.7,1.17,13,12.05,0.594,1.0,0.594,0.797
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,294.3,0.22,852,17.82,1.0,0.855,1.0,0.928
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,269.9,2.1,23,12.0,0.589,0.835,0.589,0.712
Sin información,Casablanca,Humedal no asociado a límite urbano,4.42,311.9,14.2,3.77,1,8.93,0.246,0.737,0.246,0.491
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,267.1,1.94,11,11.39,0.52,1.0,0.52,0.76
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,263.0,1.97,5,10.68,0.441,1.0,0.441,0.72
Sin información,Algarrobo,Humedal no asociado a límite urbano,4.42,311.9,161.2,5.15,1,8.62,0.211,0.737,0.211,0.474
Sin información,Algarrobo,Humedal no asociado a límite urbano,5.01,345.9,280.0,6.49,6,9.64,0.325,0.835,0.325,0.58
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,276.9,1.81,45,12.8,0.678,0.835,0.678,0.756
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,397.8,7.45,2,8.65,0.215,0.835,0.215,0.525
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,269.5,2.51,17,11.54,0.537,1.0,0.537,0.768
Humedal Sector Tunquen 3,Casablanca,Humedal asociado a límite urbano,4.42,311.9,143.5,4.93,1,8.66,0.216,0.737,0.216,0.476
Humedal Sector Tunquen 4,Casablanca,Humedal asociado a límite urbano,4.42,311.9,143.5,4.93,1,8.66,0.216,0.737,0.216,0.476
Humedal Sector Tunquen 5,Casablanca,Humedal asociado a límite urbano,4.42,311.9,147.9,5.35,1,8.58,0.207,0.737,0.207,0.472
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,273.5,8.37,2,8.54,0.202,0.835,0.202,0.518
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,268.7,0.78,2,10.92,0.467,1.0,0.467,0.734
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,248.2,1.02,8398,18.58,1.0,0.835,1.0,0.918
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,332.3,5.36,35,11.47,0.529,0.855,0.529,0.692
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,385.4,0.18,1,11.99,0.587,0.835,0.587,0.711
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,325.2,2.06,13,11.49,0.531,0.835,0.531,0.683
Sin información,Casablanca,Humedal no asociado a límite urbano,5.01,345.9,288.6,3.47,538,14.61,0.88,0.835,0.88,0.857
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,331.3,4.43,41,11.82,0.568,1.0,0.568,0.784
Sin información,Casablanca,Humedal no asociado a límite urbano,4.42,311.9,337.1,0.72,1,10.59,0.431,0.737,0.431,0.584
Sin información,Casablanca,Humedal no asociado a límite urbano,5.13,366.9,340.8,2.04,70,13.12,0.713,0.855,0.713,0.784
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,324.7,2.37,29,12.11,0.6,1.0,0.6,0.8
Sin información,Casablanca,Humedal no asociado a límite urbano,5.07,360.9,335.0,3.13,77,12.78,0.676,0.845,0.676,0.761
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,292.1,0.54,455,16.32,1.0,1.0,1.0,1.0
Sin información,Casablanca,Humedal no asociado a límite urbano,4.9,345.6,326.4,5.3,313,13.65,0.772,0.817,0.772,0.794
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,359.3,3.62,54,12.29,0.621,1.0,0.621,0.81
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,311.8,6.47,1,8.39,0.185,1.0,0.185,0.592
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,299.5,3.78,34,11.79,0.565,1.0,0.565,0.782
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,384.9,6.32,3,9.11,0.265,1.0,0.265,0.633
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,313.1,2.35,3,10.1,0.376,1.0,0.376,0.688
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,417.5,3.72,6,10.2,0.387,1.0,0.387,0.694
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,361.1,1.39,50,13.17,0.719,1.0,0.719,0.859
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,380.5,4.54,14,10.76,0.45,1.0,0.45,0.725
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,355.2,4.9,46,11.83,0.569,1.0,0.569,0.784
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,401.1,2.99,15,11.25,0.504,1.0,0.504,0.752
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,370.6,2.54,41,12.38,0.63,1.0,0.63,0.815
Sin información,Casablanca,Humedal no asociado a límite urbano,4.9,345.6,466.4,6.7,7,9.74,0.336,0.817,0.336,0.576
Sector Quintay N°4,Casablanca,Humedal asociado a límite urbano,4.9,345.6,58.1,1.91,10,11.32,0.512,0.817,0.512,0.664
Sin información,Casablanca,Humedal no asociado a límite urbano,6.43,446.0,436.7,3.09,51,12.39,0.632,1.0,0.632,0.816
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,331.9,1.38,143,14.21,0.835,1.0,0.835,0.918
Sin información,Casablanca,Humedal no asociado a límite urbano,4.9,345.6,466.3,4.54,2,9.15,0.27,0.817,0.27,0.543
Sin información,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,394.8,1.98,30,12.32,0.624,1.0,0.624,0.812
Sin información,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,388.7,1.22,2,10.47,0.417,1.0,0.417,0.708
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,366.2,3.72,2,9.35,0.293,1.0,0.293,0.646
Sin información,Casablanca,Humedal no asociado a límite urbano,6.78,466.8,366.2,3.72,2,9.35,0.293,1.0,0.293,0.646
Sin información,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,377.9,2.66,46,12.44,0.638,1.0,0.638,0.819
Sin información,Casablanca,Humedal no asociado a límite urbano,4.9,345.6,475.9,4.86,8,10.18,0.386,0.817,0.386,0.601
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,286.3,6.09,267,13.35,0.739,0.845,0.739,0.792
Sin información,Quilpué,Humedal no asociado a límite urbano,4.04,305.3,746.4,0.39,20,13.56,0.762,0.673,0.762,0.718
Sin información,Quilpué,Humedal no asociado a límite urbano,4.04,305.3,747.4,3.11,30,11.87,0.574,0.673,0.574,0.624
Sin información,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,393.3,3.91,32,11.7,0.555,1.0,0.555,0.778
Sin información,Quilpué,Humedal no asociado a límite urbano,6.78,466.8,320.8,2.16,1,9.49,0.308,1.0,0.308,0.654
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,259.5,5.25,3,9.29,0.286,0.845,0.286,0.566
Sin información,Quilpué,Humedal no asociado a límite urbano,6.78,466.8,329.9,0.49,1,10.97,0.473,1.0,0.473,0.736
Sin información,Valparaíso,Humedal no asociado a límite urbano,3.77,262.4,74.3,3.66,63,12.43,0.636,0.628,0.636,0.632
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,285.6,0.53,185,15.42,0.971,0.978,0.971,0.975
Sin información,Quilpué,Humedal no asociado a límite urbano,5.35,380.7,282.0,4.7,77,12.38,0.63,0.892,0.63,0.761
Sin información,Quilpué,Humedal no asociado a límite urbano,3.86,301.9,611.2,4.88,5,9.77,0.34,0.643,0.34,0.492
Sin información,Quilpué,Humedal no asociado a límite urbano,5.35,380.7,218.3,4.52,2,9.16,0.271,0.892,0.271,0.581
Embalse El Peral,Valparaíso,Humedal asociado a límite urbano,7.15,496.7,366.7,0.38,18,13.48,0.754,1.0,0.754,0.877
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,291.6,2.41,1,9.38,0.296,0.863,0.296,0.58
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,291.6,2.41,1,9.38,0.296,0.863,0.296,0.58
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,296.6,3.0,25,11.73,0.558,0.863,0.558,0.711
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,296.3,3.33,10,10.76,0.45,0.863,0.45,0.657
Sin información,Quilpué,Humedal no asociado a límite urbano,5.35,380.7,223.5,2.54,15,11.41,0.522,0.892,0.522,0.707
Sin información,Valparaíso,Humedal no asociado a límite urbano,5.18,360.1,401.4,9.7,2,8.39,0.185,0.863,0.185,0.524
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,198.1,3.06,3,9.84,0.347,0.978,0.347,0.663
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,149.8,1.43,4,10.82,0.457,0.978,0.457,0.718
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,260.9,1.57,176,14.29,0.844,0.892,0.844,0.868
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,160.5,2.73,2,9.66,0.327,0.978,0.327,0.653
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,309.8,5.78,3,9.2,0.275,0.892,0.275,0.583
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,179.5,3.66,1,8.96,0.249,0.978,0.249,0.614
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,162.8,3.58,2439,16.09,1.0,0.978,1.0,0.989
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,169.3,3.69,7,10.34,0.403,0.978,0.403,0.691
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,159.3,1.35,2830,17.22,1.0,0.978,1.0,0.989
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,281.1,4.82,7,10.07,0.373,0.892,0.373,0.632
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,244.1,4.76,774,14.66,0.885,0.65,0.885,0.768
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,156.8,0.62,9,12.36,0.628,0.978,0.628,0.803
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,164.0,4.04,379,14.11,0.824,0.978,0.824,0.901
Sin información,Valparaíso,Humedal asociado a límite urbano,5.18,360.1,381.8,5.52,4,9.47,0.305,0.863,0.305,0.584
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,229.2,3.5,218,13.7,0.779,0.65,0.779,0.714
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,193.2,4.44,310,13.82,0.791,0.978,0.791,0.885
Sin información,Quilpué,Humedal no asociado a límite urbano,5.87,409.9,183.6,1.73,9,11.33,0.513,0.978,0.513,0.746
Sin información,Villa Alemana,Humedal no asociado a límite urbano,5.35,380.7,233.3,4.47,10,10.47,0.417,0.892,0.417,0.654
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,170.0,2.28,2,9.84,0.347,0.65,0.347,0.498
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,208.9,7.95,9,9.79,0.342,0.65,0.342,0.496
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,187.1,3.74,10,10.65,0.437,0.827,0.437,0.632
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,187.1,3.74,10,10.65,0.437,0.827,0.437,0.632
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,138.5,0.83,12,12.32,0.625,0.685,0.625,0.655
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,151.1,1.77,1,9.69,0.33,0.685,0.33,0.508
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,204.2,3.88,16,11.04,0.482,0.685,0.482,0.584
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,154.0,1.98,3,10.27,0.396,0.685,0.396,0.54
Sin información,Olmué,Humedal no asociado a límite urbano,3.37,259.6,306.6,11.16,2,8.24,0.169,0.562,0.169,0.365
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,131.7,1.4,1,9.93,0.357,0.685,0.357,0.521
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,148.1,2.38,69,12.95,0.694,0.827,0.694,0.76
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,124.5,1.74,257,14.57,0.875,0.685,0.875,0.78
Sin información,Villa Alemana,Humedal no asociado a límite urbano,4.96,359.8,128.8,1.55,60,13.24,0.727,0.827,0.727,0.777
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,142.6,2.07,11,11.33,0.513,0.685,0.513,0.599
Sin información,Olmué,Humedal no asociado a límite urbano,3.37,259.6,212.2,10.96,4,8.77,0.228,0.562,0.228,0.395
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,125.6,2.59,2,9.72,0.333,0.827,0.333,0.58
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,120.9,0.24,1,11.69,0.553,0.685,0.553,0.619
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,165.1,1.16,50,13.35,0.739,0.685,0.739,0.712
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,120.0,0.73,1,10.58,0.429,0.685,0.429,0.557
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,117.6,0.17,1,12.05,0.594,0.685,0.594,0.64
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,159.5,1.32,51,13.25,0.727,0.685,0.727,0.706
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,143.8,3.55,2,9.4,0.298,0.685,0.298,0.492
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,149.1,3.79,2,9.33,0.291,0.685,0.291,0.488
Sin información,Villa Alemana,Humedal no asociado a límite urbano,4.96,359.8,152.8,3.58,1,8.99,0.252,0.827,0.252,0.539
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,149.2,1.55,10,11.53,0.536,0.685,0.536,0.61
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,158.1,5.16,1,8.62,0.211,0.685,0.211,0.448
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,110.6,0.15,1337,18.69,1.0,0.685,1.0,0.842
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,147.3,0.47,199,15.63,0.994,0.685,0.994,0.84
Sin información,Villa Alemana,Humedal no asociado a límite urbano,4.96,359.8,147.4,3.73,2,9.35,0.292,0.827,0.292,0.559
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,113.9,0.78,188,15.06,0.93,0.685,0.93,0.808
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,129.6,0.3,42,14.54,0.872,0.685,0.872,0.778
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,102.2,0.76,2,10.95,0.471,0.685,0.471,0.578
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,94.6,2.36,2,9.81,0.344,0.827,0.344,0.585
Sin información,Limache,Humedal no asociado a límite urbano,5.15,389.3,98.5,3.19,3,9.8,0.342,0.858,0.342,0.6
Sin información,Limache,Humedal no asociado a límite urbano,5.15,389.3,98.5,3.19,3,9.8,0.342,0.858,0.342,0.6
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,120.1,2.66,2,9.69,0.33,0.858,0.33,0.594
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,77.8,2.14,12,11.37,0.518,0.858,0.518,0.688
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,124.1,9.6,1,7.99,0.141,0.858,0.141,0.5
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,82.5,0.43,3,11.81,0.567,0.858,0.567,0.713
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,92.8,0.6,1,10.77,0.451,0.858,0.451,0.655
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,88.6,0.37,1,11.26,0.506,0.858,0.506,0.682
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,86.9,2.45,2,9.77,0.34,0.858,0.34,0.599
Sin información,Quillota,Humedal no asociado a límite urbano,3.92,302.3,239.0,5.09,84,12.38,0.631,0.653,0.631,0.642
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,88.8,0.88,2,10.8,0.454,0.858,0.454,0.656
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,94.2,0.46,71,14.63,0.882,0.858,0.882,0.87
Sin información,Quillota,Humedal no asociado a límite urbano,3.92,302.3,127.3,2.29,3,10.13,0.379,0.653,0.379,0.516
Sin información,Quillota,Humedal no asociado a límite urbano,5.59,411.6,89.4,1.15,1,10.13,0.379,0.932,0.379,0.655
Sin información,Quillota,Humedal no asociado a límite urbano,3.92,302.3,179.5,2.76,51,12.51,0.645,0.653,0.645,0.649
Sin información,Quillota,Humedal no asociado a límite urbano,5.59,411.6,90.4,4.06,17,11.06,0.483,0.932,0.483,0.707
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,90.9,0.27,1,11.55,0.539,0.858,0.539,0.699
Sin información,Quillota,Humedal no asociado a límite urbano,3.92,302.3,153.9,2.11,53,12.81,0.679,0.653,0.679,0.666
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,86.4,0.43,1,11.12,0.49,0.858,0.49,0.674
Sin información,Llaillay,Humedal no asociado a límite urbano,3.21,256.5,432.2,2.82,18,11.48,0.53,0.535,0.53,0.532
Sin información,Quillota,Humedal no asociado a límite urbano,5.59,411.6,136.8,6.05,1,8.46,0.193,0.932,0.193,0.562
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,94.1,1.98,17,11.78,0.564,0.858,0.564,0.711
Sin información,Quillota,Humedal no asociado a límite urbano,3.92,302.3,147.6,4.18,2,9.24,0.28,0.653,0.28,0.467
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,127.5,1.98,26,12.18,0.608,0.858,0.608,0.733
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,76.5,1.82,15,11.74,0.56,0.858,0.56,0.709
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,109.7,3.31,1,9.07,0.261,0.858,0.261,0.56
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,121.3,4.22,20,11.17,0.496,0.858,0.496,0.677
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,118.6,4.94,3,9.36,0.293,0.858,0.293,0.576
Sin información,Llaillay,Humedal no asociado a límite urbano,3.21,256.5,398.0,0.43,1,11.11,0.489,0.535,0.489,0.512
Sin información,Quillota,Humedal no asociado a límite urbano,4.59,363.5,106.2,3.84,3,9.61,0.321,0.765,0.321,0.543
Sin información,Quintero,Humedal no asociado a límite urbano,5.33,412.1,132.7,9.76,2,8.38,0.184,0.888,0.184,0.536
Sin información,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,399.0,4.27,3,9.5,0.309,0.598,0.309,0.454
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,414.5,0.96,13,12.25,0.617,0.532,0.617,0.574
Sin información,Hijuelas,Humedal no asociado a límite urbano,3.79,308.7,303.0,0.24,1,11.7,0.555,0.632,0.555,0.593
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,427.5,9.97,3,8.65,0.214,0.532,0.214,0.373
Sin información,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,401.7,5.12,4,9.54,0.314,0.598,0.314,0.456
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,411.8,0.74,13,12.51,0.645,0.532,0.645,0.588
Sector Estero Mantagua 1,Quintero,Humedal asociado a límite urbano,4.28,319.4,32.0,3.83,9,10.53,0.424,0.713,0.424,0.569
Sin información,Quillota,Humedal no asociado a límite urbano,4.59,363.5,124.5,4.24,100,12.74,0.671,0.765,0.671,0.718
Sin información,Quillota,Humedal no asociado a límite urbano,4.59,363.5,129.5,4.08,98,12.76,0.673,0.765,0.673,0.719
Sector Estero Mantagua 2,Quintero,Humedal asociado a límite urbano,4.28,319.4,34.2,3.8,11,10.72,0.445,0.713,0.445,0.579
Sin información,Quillota,Humedal no asociado a límite urbano,3.9,313.4,123.0,0.39,19,13.5,0.756,0.65,0.756,0.703
Estero Mantagua,Quintero,Humedal asociado a límite urbano,4.28,319.4,24.0,0.89,414,15.72,1.0,0.713,1.0,0.857
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,413.4,2.4,1,9.39,0.296,0.532,0.296,0.414
Sin información,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,385.4,0.31,1,11.43,0.525,0.598,0.525,0.562
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,448.3,12.24,2,8.15,0.158,0.532,0.158,0.345
Sin información,Quillota,Humedal no asociado a límite urbano,4.59,363.5,169.1,4.89,2,9.08,0.262,0.765,0.262,0.514
Sin información,Llaillay,Humedal no asociado a límite urbano,3.19,262.3,418.0,3.33,4,9.97,0.362,0.532,0.362,0.447
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,137.3,1.06,1,10.2,0.387,0.65,0.387,0.518
Sin información,Quillota,Humedal no asociado a límite urbano,4.59,363.5,251.5,7.51,87,12.03,0.591,0.765,0.591,0.678
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,188.4,3.03,39,12.15,0.605,0.65,0.605,0.628
Sin información,Calera,Humedal no asociado a límite urbano,3.9,313.4,310.1,6.31,4,9.33,0.29,0.65,0.29,0.47
Sin información,Hijuelas,Humedal no asociado a límite urbano,3.79,308.7,325.3,2.28,4,10.35,0.405,0.632,0.405,0.518
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,197.2,2.86,12,11.08,0.486,0.65,0.486,0.568
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,239.2,7.02,11,10.1,0.376,0.65,0.376,0.513
Sin información,Quintero,Humedal asociado a límite urbano,5.33,412.1,89.2,2.44,3,10.06,0.372,0.888,0.372,0.63
