nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Estero Mala Cara,Puchuncaví,Humedal asociado a límite urbano,5.33,412.1,80.1,2.32,292,14.41,0.857,0.888,0.857,0.873
Estero Mala Cara,Puchuncaví,Humedal asociado a límite urbano,5.33,412.1,104.4,6.64,206,13.0,0.7,0.888,0.7,0.794
Estero Mala Cara,Quintero,Humedal asociado a límite urbano,5.33,412.1,21.8,1.8,2228,16.69,1.0,0.888,1.0,0.944
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,20.3,3.91,5,10.0,0.364,0.593,0.364,0.479
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,14.1,2.89,6,10.45,0.416,0.593,0.416,0.505
Sist. Rio Aconcagua y trib,Quintero,Humedal asociado a límite urbano,5.59,411.6,14.8,0.98,1,10.28,0.396,0.932,0.396,0.664
Sist. Rio Aconcagua y trib,Quintero,Humedal asociado a límite urbano,5.59,411.6,10.7,0.52,2,11.32,0.512,0.932,0.512,0.722
Sist. Rio Aconcagua y trib,Quintero,Humedal asociado a límite urbano,5.59,411.6,11.9,1.24,1,10.04,0.37,0.932,0.37,0.651
Sist. Rio Aconcagua y trib,Quintero,Humedal asociado a límite urbano,5.59,411.6,8.8,0.06,34,15.43,0.971,0.932,0.971,0.951
Sist. Rio Aconcagua y trib,Concón,Humedal asociado a límite urbano,5.59,411.6,12.7,1.13,1,10.14,0.381,0.932,0.381,0.656
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,11.7,0.73,36,13.5,0.756,0.585,0.756,0.67
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,13.1,1.84,17,11.85,0.572,0.585,0.572,0.578
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,11.8,0.69,24,13.17,0.718,0.585,0.718,0.652
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,8.5,0.18,7,13.35,0.739,0.585,0.739,0.662
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,5.7,0.88,4,11.3,0.51,0.585,0.51,0.548
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,35.1,3.59,1,8.98,0.251,0.585,0.251,0.418
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,24.6,1.04,43,13.31,0.735,0.585,0.735,0.66
Laguna de Llolleo,San Antonio,Humedal asociado a límite urbano,3.3,227.5,12.6,0.36,5,12.38,0.631,0.55,0.631,0.59
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.63,228.2,99.5,2.36,1,9.4,0.298,0.605,0.298,0.452
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.63,228.2,109.5,0.16,1,12.09,0.599,0.605,0.599,0.602
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.63,228.2,66.7,1.04,33,13.06,0.706,0.605,0.706,0.656
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,196.9,2.77,1,9.24,0.281,0.593,0.281,0.437
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,44.8,7.01,15,10.39,0.408,0.593,0.408,0.501
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,25.5,0.65,1,10.69,0.442,0.593,0.442,0.518
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.56,227.3,10.7,0.39,1677,17.94,1.0,0.593,1.0,0.797
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,16.5,2.02,250,14.39,0.855,0.585,0.855,0.72
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,56.1,3.8,2,9.33,0.29,0.585,0.29,0.438
Humedal Sector Tunquen 6,Casablanca,Humedal asociado a límite urbano,4.42,311.9,147.9,5.35,1,8.58,0.207,0.737,0.207,0.472
Sin información,Quilpué,Humedal no asociado a límite urbano,3.09,248.0,625.7,5.07,25,11.2,0.499,0.515,0.499,0.507
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,913.9,6.51,7,9.77,0.339,0.65,0.339,0.495
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,197.1,5.52,3,9.24,0.281,0.65,0.281,0.466
Sin información,Olmué,Humedal no asociado a límite urbano,3.37,259.6,844.2,11.58,3,8.49,0.197,0.562,0.197,0.379
Sin información,Limache,Humedal no asociado a límite urbano,5.59,411.6,22.9,0.22,1,11.76,0.561,0.932,0.561,0.746
Sist. Rio Aconcagua y trib,Limache,Humedal asociado a límite urbano,5.59,411.6,23.0,0.58,1,10.8,0.454,0.932,0.454,0.693
Sin información,Quintero,Humedal asociado a límite urbano,4.28,319.4,21.1,1.79,1,9.68,0.329,0.713,0.329,0.521
Sector Estero Mala Cara 3,Quintero,Humedal asociado a límite urbano,4.28,319.4,12.1,0.84,5,11.54,0.537,0.713,0.537,0.625
Sector Estero Mala Cara 8,Quintero,Humedal asociado a límite urbano,4.28,319.4,10.2,0.33,6,12.63,0.659,0.713,0.659,0.686
Sector Estero Mala Cara 9,Quintero,Humedal asociado a límite urbano,4.28,319.4,10.9,0.61,1,10.75,0.449,0.713,0.449,0.581
