nom_humed,comuna,dist_drenaje_m,prox_drenaje
Sin información,Algarrobo,361.0,0.68
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,212.0,0.838
Sin información,Casablanca,247.0,0.801
Sin información,Casablanca,0.0,1.0
Sin información,Algarrobo,450.0,0.585
Sin información,Algarrobo,484.0,0.549
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,30.0,1.0
No identificado,Algarrobo,408.0,0.63
Sin información,Algarrobo,451.0,0.584
Sin información,Casablanca,60.0,1.0
Sin información,Algarrobo,324.0,0.719
Sin información,Casablanca,277.0,0.77
Sin información,Casablanca,120.0,0.936
Sin información,Casablanca,60.0,1.0
Sector Agrosuper,Casablanca,120.0,0.936
Sin información,Algarrobo,268.0,0.778
Sin información,Casablanca,30.0,1.0
Sin información,Algarrobo,658.0,0.364
Sin información,Casablanca,85.0,0.974
Sin información,Algarrobo,30.0,1.0
Sin información,Algarrobo,30.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,Algarrobo,108.0,0.949
Sin información,Casablanca,210.0,0.84
Sin información,Casablanca,170.0,0.883
Sin información,Casablanca,67.0,0.992
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,454.0,0.581
Sin información,Casablanca,242.0,0.807
Sin información,Casablanca,256.0,0.791
Sin información,Algarrobo,390.0,0.649
Sin información,Casablanca,120.0,0.936
Sin información,Algarrobo,738.0,0.279
Sin información,Algarrobo,633.0,0.391
Sin información,Casablanca,218.0,0.831
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,242.0,0.807
Sin información,Casablanca,212.0,0.838
Sin información,Casablanca,607.0,0.418
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,180.0,0.872
Sin información,Casablanca,750.0,0.266
Sin información,Casablanca,458.0,0.577
Sin información,Casablanca,134.0,0.921
Sin información,Algarrobo,404.0,0.634
Sin información,Algarrobo,511.0,0.52
Sin información,Algarrobo,660.0,0.362
Sin información,Algarrobo,30.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Algarrobo,631.0,0.393
Sin información,Algarrobo,815.0,0.197
Sin información,Algarrobo,589.0,0.437
Sin información,Casablanca,309.0,0.735
Sin información,Casablanca,313.0,0.731
Sin información,Casablanca,0.0,1.0
Sin información,Algarrobo,228.0,0.821
Sin información,Casablanca,272.0,0.775
Humedal Sector Tunquen 1,Algarrobo,933.0,0.071
Humedal Sector Tunquen 2,Algarrobo,752.0,0.264
Sin información,Casablanca,150.0,0.904
Sin información,Casablanca,85.0,0.974
Sin información,Casablanca,408.0,0.63
Sin información,Algarrobo,600.0,0.426
Sin información,Algarrobo,592.0,0.434
Sin información,Algarrobo,437.0,0.599
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,124.0,0.932
Sin información,Algarrobo,912.0,0.093
Sin información,Casablanca,541.0,0.488
