nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Humedal Jardín Botánico,Viña del Mar,90.6,0.812,1.0,0.566,0.55,1.0,0.779,0.633,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse,Calle Larga,81.2,0.624,0.541,0.043,0.544,0.847,0.494,0.308,Moderada,CIREN,Rio Aconcagua
Embalse,San Antonio,81.2,0.624,1.0,0.0,0.55,0.994,0.636,0.397,Alta,CIREN,Rio Maipo
Embalse,San Antonio,81.2,0.624,0.342,0.0,0.55,1.0,0.473,0.295,Moderada,CIREN,Rio Maipo
Quebrada Las Petras,Algarrobo,81.2,0.624,0.543,0.0,0.717,1.0,0.565,0.353,Alta,FAO,Costeras entre Aconcagua y Maipo
Quebrada Las Petras,El Quisco,81.2,0.624,1.0,0.0,0.717,1.0,0.679,0.424,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Quebrada El Batro,El Quisco,81.2,0.624,0.41,0.0,0.717,1.0,0.532,0.332,Alta,FAO,Costeras entre Aconcagua y Maipo
Quebrada Pino Mar,El Quisco,81.2,0.624,0.533,0.0,0.0,1.0,0.383,0.239,Baja,FAO,Costeras entre Aconcagua y Maipo
Estero El Totoral,El Quisco,81.2,0.624,1.0,0.823,0.717,1.0,0.885,0.552,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse,San Antonio,81.2,0.624,0.277,0.105,0.55,0.814,0.436,0.272,Baja,CIREN,Rio Maipo
Embalse sector Quebrada Los Coiles,San Antonio,81.2,0.624,1.0,0.258,0.717,1.0,0.744,0.464,Muy Alta,FAO,Rio Maipo
Embalse sector Quebrada Los Coiles,San Antonio,81.2,0.624,0.549,0.276,0.229,0.848,0.476,0.297,Moderada,CIREN,Rio Maipo
Humedal sector Las Palmas,Cartagena,81.2,0.624,0.584,0.685,0.717,1.0,0.746,0.466,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Estero de la Viña,Cartagena,81.2,0.624,0.96,0.412,0.717,0.991,0.77,0.48,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse San Juan,San Antonio,78.1,0.562,0.246,0.188,0.553,0.836,0.456,0.256,Baja,FAO,Rio Maipo
Embalse,Algarrobo,90.6,0.812,0.813,0.0,0.379,1.0,0.548,0.445,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse,Algarrobo,90.6,0.812,0.23,0.0,0.379,1.0,0.402,0.327,Moderada,CIREN,Costeras entre Aconcagua y Maipo
Embalse Casablanca 1,Casablanca,90.6,0.812,0.593,0.0,0.568,0.822,0.496,0.403,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalses Quintay 2,Casablanca,93.8,0.876,0.328,0.132,0.071,0.784,0.329,0.288,Moderada,CIREN,Costeras entre Aconcagua y Maipo
Embalses Quintay 1,Casablanca,93.8,0.876,0.258,1.0,0.071,0.835,0.541,0.474,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse sector Las Tablas,Valparaíso,93.8,0.876,0.912,0.0,0.229,1.0,0.535,0.469,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse 1 Calle Larga,Calle Larga,81.2,0.624,0.599,0.063,0.4,0.535,0.399,0.249,Baja,CIREN,Rio Aconcagua
Embalse La Invernada,Valparaíso,93.8,0.876,0.499,0.349,0.717,0.743,0.577,0.505,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse 3 San Esteban.,San Esteban,68.8,0.376,0.421,0.0,0.553,0.0,0.244,0.092,Muy Baja,FAO,Rio Aconcagua
Embalse 4 San Esteban.,San Esteban,68.8,0.376,0.535,0.066,0.384,0.0,0.246,0.093,Muy Baja,CIREN,Rio Aconcagua
Embalse 6 San Esteban.,San Esteban,75.0,0.5,0.402,0.048,0.384,0.279,0.278,0.139,Muy Baja,CIREN,Rio Aconcagua
Embalse 19 Rinconada,Rinconada,81.2,0.624,1.0,0.0,0.434,0.749,0.546,0.341,Alta,CIREN,Rio Aconcagua
Piscina 3,Puchuncaví,87.5,0.75,0.22,0.442,0.236,0.174,0.268,0.201,Muy Baja,FAO,Costeras Ligua-Aconcagua
Piscina 2,Quintero,87.5,0.75,0.262,0.0,0.236,0.414,0.228,0.171,Muy Baja,FAO,Costeras Ligua-Aconcagua
Piscina 1,Quintero,87.5,0.75,0.559,0.0,0.236,0.414,0.302,0.227,Muy Baja,FAO,Costeras Ligua-Aconcagua
Quebrada Las Tinajas,Algarrobo,81.2,0.624,0.375,0.0,0.0,1.0,0.344,0.214,Muy Baja,FAO,Costeras entre Aconcagua y Maipo
Laguna Sausalito,Viña del Mar,90.6,0.812,1.0,0.661,0.236,1.0,0.724,0.588,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Laguna El Peral,El Tabo,81.2,0.624,0.302,0.362,0.717,0.912,0.573,0.358,Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse Quebrada El Tranque,San Antonio,78.1,0.562,0.652,0.164,0.379,0.943,0.534,0.3,Moderada,CIREN,Rio Maipo
Lago Peñuelas,Valparaíso,93.8,0.876,0.897,0.997,0.717,0.81,0.855,0.749,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Humedal sector Fundo Los Arrayanes,Olmué,93.8,0.876,0.231,0.11,0.25,0.738,0.332,0.291,Moderada,CIREN,Rio Aconcagua
Esteros Catapilco - La Canela,Puchuncaví,87.5,0.75,0.445,0.0,0.236,1.0,0.42,0.315,Moderada,FAO,Costeras Ligua-Aconcagua
Esteros Catapilco - La Canela,Puchuncaví,87.5,0.75,0.373,0.0,0.236,1.0,0.402,0.302,Moderada,FAO,Costeras Ligua-Aconcagua
Esteros Catapilco - La Canela,Zapallar,87.5,0.75,0.609,0.619,0.236,1.0,0.616,0.462,Muy Alta,FAO,Costeras Ligua-Aconcagua
Esteros Catapilco - La Canela,Zapallar,87.5,0.75,0.418,0.034,0.236,1.0,0.422,0.316,Moderada,FAO,
Embalse,Rinconada,84.4,0.688,0.393,0.003,0.464,0.959,0.455,0.313,Moderada,CIREN,Rio Aconcagua
Embalse 2 Calle Larga.,Calle Larga,81.2,0.624,0.439,0.057,0.384,0.791,0.418,0.261,Baja,CIREN,Rio Aconcagua
Sector Quintay N°3,Casablanca,93.8,0.876,0.285,0.027,0.55,0.865,0.432,0.378,Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalse 17 Rinconada,Rinconada,81.2,0.624,0.588,0.0,0.384,0.0,0.243,0.152,Muy Baja,CIREN,Rio Aconcagua
Embalse 14 Rinconada,Rinconada,81.2,0.624,0.387,0.166,0.384,0.0,0.234,0.146,Muy Baja,CIREN,Rio Aconcagua
Embalse 15 Rinconada,Rinconada,81.2,0.624,1.0,0.0,0.384,0.0,0.346,0.216,Muy Baja,CIREN,Rio Aconcagua
