nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Sin información,Petorca,87.5,0.75,0.812,0.0,0.461,1.0,0.568,0.426,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.238,0.0,0.461,0.962,0.415,0.311,Moderada,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.907,0.0,0.461,1.0,0.592,0.444,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.205,0.0,0.461,0.533,0.3,0.225,Muy Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.165,0.0,0.461,0.726,0.338,0.253,Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.059,0.0,0.461,0.573,0.273,0.205,Muy Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.49,0.0,0.461,0.257,0.302,0.227,Muy Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.534,0.0,0.461,1.0,0.499,0.374,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.771,0.0,0.461,0.827,0.515,0.386,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.277,0.0,0.461,0.662,0.35,0.262,Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.707,0.0,0.461,1.0,0.542,0.406,Muy Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.202,0.0,0.461,0.714,0.344,0.258,Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.302,0.0,0.461,0.558,0.33,0.248,Baja,FAO,Rio Choapa
Sin información,Petorca,87.5,0.75,0.512,0.0,0.461,0.594,0.392,0.294,Moderada,FAO,Rio Choapa
Sin información,Petorca,87.5,0.75,0.263,0.0,0.461,0.565,0.322,0.242,Baja,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.522,0.076,0.461,0.639,0.424,0.318,Moderada,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.301,0.062,0.461,0.797,0.405,0.329,Moderada,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.192,0.107,0.461,0.8,0.39,0.317,Moderada,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.168,0.049,0.461,0.996,0.418,0.34,Alta,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.225,0.127,0.461,0.987,0.45,0.365,Alta,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.426,0.0,0.461,0.814,0.425,0.345,Alta,FAO,Rio Petorca
Sin información,Petorca,90.6,0.812,0.096,0.128,0.461,1.0,0.421,0.342,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.309,0.0,0.461,1.0,0.442,0.332,Alta,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.259,0.0,0.461,0.863,0.396,0.297,Moderada,FAO,Rio Petorca
Sin información,Petorca,87.5,0.75,0.537,0.0,0.461,1.0,0.5,0.375,Alta,FAO,Rio Petorca
Sin información,Los Andes,84.4,0.688,0.327,0.0,0.461,0.421,0.302,0.208,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.315,0.014,0.461,0.651,0.36,0.248,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.477,0.156,0.461,0.94,0.508,0.35,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.539,0.014,0.461,0.935,0.487,0.335,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.187,0.0,0.461,0.874,0.38,0.262,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.688,0.188,0.461,0.982,0.58,0.399,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.556,0.096,0.461,0.916,0.507,0.349,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.896,0.0,0.461,1.0,0.589,0.405,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.11,0.461,1.0,0.643,0.442,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.306,0.021,0.461,0.92,0.427,0.294,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.357,0.0,0.461,0.86,0.42,0.289,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.106,1.0,0.461,0.862,0.607,0.418,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.283,0.509,0.461,1.0,0.563,0.388,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.431,0.024,0.461,1.0,0.479,0.33,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.25,0.485,0.461,1.0,0.549,0.378,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.413,0.0,0.461,0.871,0.436,0.3,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.533,0.59,0.461,0.989,0.643,0.443,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.024,0.005,0.461,0.696,0.296,0.204,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.424,0.0,0.461,0.986,0.468,0.322,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.479,0.0,0.461,1.0,0.485,0.334,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.832,0.0,0.461,0.931,0.556,0.383,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.071,0.162,0.461,0.909,0.401,0.276,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.241,0.0,0.461,0.974,0.419,0.288,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.903,0.031,0.461,1.0,0.599,0.412,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.25,0.853,0.461,1.0,0.641,0.441,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.447,0.0,0.461,0.903,0.453,0.311,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.712,0.241,0.461,0.74,0.538,0.37,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.069,0.461,1.0,0.633,0.435,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.259,0.261,0.461,0.939,0.48,0.33,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.505,0.0,0.461,0.736,0.426,0.293,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.072,0.429,0.461,0.958,0.48,0.33,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.058,0.0,0.461,0.88,0.35,0.241,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.356,0.0,0.461,1.0,0.454,0.313,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.527,0.0,0.461,1.0,0.497,0.342,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.0,0.145,0.461,0.841,0.362,0.249,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.366,0.0,0.461,0.637,0.366,0.252,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.194,0.0,0.461,0.873,0.382,0.263,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.182,0.067,0.461,0.902,0.403,0.277,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.174,0.08,0.461,0.784,0.375,0.258,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.223,0.0,0.461,1.0,0.421,0.29,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.548,0.0,0.461,0.872,0.47,0.324,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.33,0.0,0.461,0.793,0.396,0.272,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.284,0.0,0.461,1.0,0.436,0.3,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.297,0.0,0.461,0.928,0.422,0.29,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.809,0.0,0.461,0.989,0.565,0.389,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.0,0.461,1.0,0.615,0.423,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.047,0.0,0.461,0.984,0.373,0.257,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.304,0.0,0.461,1.0,0.441,0.304,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.213,0.081,0.461,0.968,0.431,0.296,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.318,0.0,0.461,0.459,0.31,0.213,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.139,0.0,0.461,1.0,0.4,0.275,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.607,0.0,0.461,0.981,0.512,0.352,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.39,0.0,0.461,0.929,0.445,0.306,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.0,0.461,0.946,0.602,0.414,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.352,0.271,0.461,0.75,0.458,0.229,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.226,0.0,0.461,0.908,0.399,0.274,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.799,0.0,0.461,1.0,0.565,0.389,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.428,0.0,0.461,0.712,0.4,0.2,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.574,0.053,0.461,0.872,0.49,0.337,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.487,0.0,0.461,1.0,0.487,0.335,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.131,0.518,0.461,0.961,0.518,0.356,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.0,0.461,1.0,0.615,0.423,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.395,0.0,0.461,1.0,0.464,0.319,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.016,0.461,0.958,0.609,0.419,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.201,0.271,0.461,0.838,0.443,0.305,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.159,0.0,0.461,0.934,0.388,0.194,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.284,0.0,0.461,0.964,0.427,0.294,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.298,0.15,0.461,0.937,0.462,0.318,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.304,0.0,0.461,1.0,0.441,0.304,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.247,0.0,0.461,0.924,0.408,0.281,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.706,0.0,0.461,0.73,0.474,0.326,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.116,0.0,0.461,0.953,0.382,0.263,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.275,0.057,0.461,0.917,0.428,0.214,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.157,0.0,0.461,1.0,0.404,0.278,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.188,0.0,0.461,1.0,0.412,0.284,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.161,0.568,0.461,1.0,0.548,0.377,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.318,0.0,0.461,1.0,0.445,0.306,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.668,0.0,0.461,0.71,0.46,0.316,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.299,0.0,0.461,0.965,0.431,0.297,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.728,0.062,0.461,0.799,0.513,0.256,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.372,0.307,0.461,1.0,0.535,0.368,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.306,0.0,0.461,0.695,0.366,0.251,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.953,0.0,0.461,0.567,0.495,0.341,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,1.0,0.0,0.461,1.0,0.615,0.423,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.189,0.186,0.461,0.784,0.405,0.279,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.311,0.0,0.461,0.924,0.424,0.212,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.453,0.0,0.461,0.894,0.452,0.226,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.381,0.343,0.461,0.696,0.47,0.235,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.545,0.0,0.461,0.937,0.486,0.243,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.271,0.0,0.461,0.961,0.423,0.212,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.43,0.0,0.461,0.868,0.44,0.22,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.412,0.0,0.461,0.974,0.462,0.318,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.143,0.042,0.461,0.702,0.337,0.232,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.171,0.0,0.461,0.95,0.395,0.272,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.207,0.0,0.461,0.928,0.399,0.2,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.426,0.197,0.461,1.0,0.521,0.358,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.145,0.019,0.461,0.939,0.391,0.269,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.241,0.374,0.461,0.478,0.388,0.267,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.242,0.223,0.461,0.465,0.348,0.239,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.881,0.0,0.461,0.452,0.448,0.309,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.87,0.0,0.461,0.882,0.553,0.277,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.349,0.0,0.461,0.991,0.45,0.31,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.964,0.033,0.461,0.865,0.581,0.29,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.138,0.0,0.461,0.945,0.386,0.266,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.28,0.0,0.461,0.964,0.426,0.213,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.247,0.133,0.461,1.0,0.46,0.23,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.807,0.0,0.461,0.862,0.532,0.366,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.629,0.0,0.461,0.911,0.5,0.344,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.135,0.0,0.461,0.917,0.378,0.26,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.254,0.143,0.461,0.92,0.444,0.306,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.351,0.0,0.461,0.924,0.434,0.299,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.966,0.0,0.461,1.0,0.607,0.417,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.169,0.324,0.461,0.995,0.487,0.335,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.289,0.0,0.461,0.876,0.406,0.28,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.235,0.0,0.461,1.0,0.424,0.292,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.18,0.0,0.461,0.974,0.404,0.278,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.274,0.0,0.461,0.963,0.424,0.292,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,84.4,0.688,0.025,0.196,0.461,0.99,0.418,0.288,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.895,0.0,0.461,1.0,0.589,0.368,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.075,0.122,0.461,1.0,0.414,0.259,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.493,0.0,0.461,0.981,0.484,0.302,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.517,0.0,0.461,1.0,0.494,0.309,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.055,0.103,0.461,1.0,0.405,0.253,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.121,0.461,1.0,0.646,0.403,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.302,0.0,0.461,0.988,0.438,0.273,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.32,0.042,0.461,0.901,0.431,0.269,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.0,0.461,1.0,0.615,0.384,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.181,0.0,0.461,0.794,0.359,0.224,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.859,0.08,0.461,1.0,0.6,0.3,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.166,0.0,0.461,1.0,0.407,0.203,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.426,0.0,0.461,1.0,0.472,0.236,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.87,0.0,0.461,1.0,0.583,0.291,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.011,0.461,1.0,0.618,0.309,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.015,1.0,0.461,0.967,0.611,0.381,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.281,0.179,0.461,0.895,0.454,0.283,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.333,0.0,0.461,0.898,0.423,0.264,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.248,0.0,0.461,0.914,0.406,0.253,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.257,0.0,0.461,1.0,0.43,0.268,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.445,0.0,0.461,0.939,0.461,0.288,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.563,0.0,0.461,0.567,0.398,0.199,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.453,0.0,0.461,0.651,0.391,0.196,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.224,0.0,0.461,0.639,0.331,0.166,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.481,0.157,0.461,0.702,0.45,0.225,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.78,0.0,0.461,0.742,0.496,0.248,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.13,0.0,0.461,0.783,0.344,0.172,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.244,0.0,0.461,0.791,0.374,0.187,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.374,0.0,0.461,0.991,0.456,0.228,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.476,0.461,1.0,0.734,0.458,Muy Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.321,0.301,0.461,1.0,0.521,0.325,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.607,0.06,0.461,1.0,0.532,0.332,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.055,0.461,1.0,0.629,0.314,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.354,0.0,0.461,1.0,0.454,0.283,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.196,0.0,0.461,0.99,0.412,0.257,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.014,0.461,1.0,0.619,0.386,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.208,0.0,0.461,1.0,0.417,0.26,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.156,0.0,0.461,0.957,0.393,0.197,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.334,0.296,0.461,0.953,0.511,0.319,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.371,0.0,0.461,1.0,0.458,0.286,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.204,0.336,0.461,1.0,0.5,0.312,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.331,0.293,0.461,0.949,0.508,0.317,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.338,0.072,0.461,0.95,0.455,0.284,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.642,0.387,0.461,1.0,0.622,0.311,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.578,0.0,0.461,0.916,0.489,0.305,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.545,0.0,0.461,0.921,0.482,0.301,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.168,0.089,0.461,1.0,0.43,0.215,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.0,0.461,1.0,0.615,0.384,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.661,0.0,0.461,1.0,0.53,0.331,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.357,0.0,0.461,1.0,0.454,0.284,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.009,0.762,0.461,0.961,0.548,0.342,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.237,0.0,0.461,1.0,0.424,0.265,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.287,0.0,0.461,1.0,0.437,0.273,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.299,0.0,0.461,0.912,0.418,0.261,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.138,0.461,1.0,0.65,0.325,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.367,0.461,1.0,0.707,0.354,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.0,0.0,0.461,0.939,0.35,0.175,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.337,0.0,0.461,0.916,0.428,0.214,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.271,0.0,0.461,0.882,0.403,0.202,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.31,0.0,0.461,0.991,0.44,0.275,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.0,0.461,0.972,0.608,0.304,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.388,0.0,0.461,1.0,0.462,0.231,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.289,0.0,0.461,0.951,0.425,0.213,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,1.0,0.185,0.461,1.0,0.662,0.331,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,1.0,0.0,0.461,1.0,0.615,0.384,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.881,0.0,0.461,1.0,0.586,0.365,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.437,0.0,0.461,0.891,0.447,0.224,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.896,0.449,0.461,0.764,0.643,0.321,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.367,0.0,0.461,1.0,0.457,0.228,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.365,0.0,0.461,1.0,0.456,0.228,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.352,0.0,0.461,1.0,0.453,0.283,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.133,0.0,0.461,0.76,0.338,0.211,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.209,0.114,0.461,0.989,0.443,0.277,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.336,0.0,0.461,1.0,0.449,0.28,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,75.0,0.5,0.492,0.0,0.461,0.805,0.44,0.22,Muy Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.163,0.0,0.461,1.0,0.406,0.253,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.345,0.334,0.461,0.971,0.528,0.329,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.504,0.265,0.461,0.998,0.557,0.348,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.744,0.0,0.461,0.994,0.55,0.343,Alta,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.479,0.286,0.461,0.876,0.526,0.328,Moderada,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.153,0.0,0.461,0.913,0.382,0.238,Baja,FAO,Rio Aconcagua
Sin información,Los Andes,81.2,0.624,0.197,0.0,0.461,0.87,0.382,0.238,Baja,FAO,Rio Aconcagua
