nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Embalse,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.808223544585,8080.62982664,HUR-05-10,56135,5,63.4,33.6,0.39,77.3,0.391,47.46,9.48,0.586,0.546,0.574,0.566,0.558,False,False
Quebrada Lance Bravo Norte,Valparaíso,Algarrobo,Humedal asociado a límite urbano,2.67587953743,26777.814926,HUR-05-100,56136,5,71.6,57.5,0.78,77.3,0.461,45.47,5.79,0.155,0.546,0.272,0.351,0.429,False,False
Embalse Sector Hijuelas,Valparaíso,La Cruz,Humedal no asociado a límite urbano,0.411620832319,4117.19180612,HUR-05-105,56137,5,124.8,210.3,2.53,95.5,0.64,40.22,8.62,0.486,0.91,0.613,0.698,0.783,True,True
Embalse Los Culenes,Valparaíso,Papudo,Humedal no asociado a límite urbano,11.6308719149,116354.027939,HUR-05-113,56138,5,96.9,182.2,2.07,86.4,0.503,34.34,9.23,0.556,0.728,0.608,0.642,0.676,False,False
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,1.67869707709,16791.8942413,HUR-05-116,56139,5,113.1,229.4,2.61,95.5,0.508,34.34,7.92,0.403,0.91,0.555,0.657,0.758,True,False
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,0.628458743821,6286.41624609,HUR-05-117,56140,5,113.1,229.4,2.61,95.5,0.508,34.34,15.25,1.0,0.91,0.973,0.955,0.937,True,True
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,0.598304160742,5984.86381482,HUR-05-118,56141,5,113.1,229.4,2.61,95.5,0.508,34.34,9.13,0.545,0.91,0.655,0.728,0.8,True,True
Embalse,Valparaíso,Papudo,Humedal no asociado a límite urbano,4.43013359796,44319.7939716,HUR-05-119,56142,5,96.9,182.2,2.07,86.4,0.503,34.34,8.81,0.507,0.728,0.573,0.617,0.662,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.233117378231,2330.55335307,HUR-05-12,56143,5,55.4,16.7,0.2,68.2,0.352,47.46,7.75,0.383,0.364,0.377,0.374,0.37,False,False
Embalse Estero Las Salinas 1,Valparaíso,Papudo,Humedal no asociado a límite urbano,2.7530878466,27541.8767866,HUR-05-120,56144,5,96.9,182.2,2.07,86.4,0.503,34.34,8.7,0.494,0.728,0.564,0.611,0.658,False,False
Embalse Estero Las Salinas 2,Valparaíso,Papudo,Humedal no asociado a límite urbano,0.933217772635,9335.89531964,HUR-05-121,56145,5,96.9,182.2,2.07,86.4,0.503,34.34,9.98,0.644,0.728,0.669,0.686,0.703,False,False
Embalse Estero Las Salinas 3,Valparaíso,Papudo,Humedal no asociado a límite urbano,1.23768138451,12381.8274763,HUR-05-122,56146,5,96.9,182.2,2.07,86.4,0.503,34.34,9.94,0.639,0.728,0.666,0.684,0.701,False,False
Humedal sin identificar,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,1.04296999878,10434.8368152,HUR-05-127,56147,5,96.3,149.3,1.87,86.4,0.468,38.63,12.0,0.879,0.728,0.834,0.804,0.773,False,False
Humedal Laguna El Criquet,Valparaíso,Valparaíso,Humedal asociado a límite urbano,1.42442518918,14254.2250135,HUR-05-128,56148,5,133.4,224.8,3.08,95.5,0.577,41.07,6.66,0.257,0.91,0.453,0.584,0.714,True,False
Sector Quintay N°2,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.303578037413,3038.10213597,HUR-05-129,56149,5,127.2,193.6,2.73,95.5,0.562,43.32,7.32,0.334,0.91,0.507,0.622,0.737,True,False
Embalse,Valparaíso,Calle Larga,Humedal asociado a límite urbano,1.10036775031,11000.8052603,HUR-05-13,56150,5,55.4,16.7,0.2,68.2,0.352,47.46,7.2,0.32,0.364,0.333,0.342,0.351,False,False
Sector Punta de Tralca N°2,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.325358800653,3255.97190639,HUR-05-133,56151,5,59.5,30.9,0.42,77.3,0.406,45.47,7.81,0.39,0.546,0.437,0.468,0.499,False,False
Laguna Sector  Marbella,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,0.436317127676,4365.24615279,HUR-05-134,56152,5,92.9,140.5,1.76,86.4,0.485,38.63,7.82,0.392,0.728,0.493,0.56,0.627,False,False
Humedal Av. Punta Puyai,Valparaíso,Papudo,Humedal asociado a límite urbano,0.879386353465,8798.0802621,HUR-05-135,56153,5,96.9,182.2,2.07,86.4,0.503,34.34,7.0,0.296,0.728,0.426,0.512,0.598,False,False
Embalse 8 Rinconada.,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.886595425009,8864.37960459,HUR-05-136,56154,5,63.4,33.6,0.39,77.3,0.391,47.46,8.11,0.426,0.546,0.462,0.486,0.51,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.53773960149,15373.4147065,HUR-05-14,56155,5,55.4,16.7,0.2,68.2,0.352,47.46,8.22,0.439,0.364,0.416,0.401,0.386,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.34141011567,13410.8468209,HUR-05-15,56156,5,63.4,33.6,0.39,77.3,0.391,47.46,11.01,0.763,0.546,0.698,0.655,0.611,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,4.05692908548,40559.0843703,HUR-05-16,56157,5,62.0,25.6,0.29,63.6,0.418,49.37,13.64,1.0,0.272,0.782,0.636,0.49,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.267704633742,2676.37892128,HUR-05-17,56158,5,62.0,25.6,0.29,63.6,0.418,49.37,7.32,0.334,0.272,0.315,0.303,0.291,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.06532006938,10651.017475,HUR-05-19,56159,5,63.4,33.6,0.39,77.3,0.391,47.46,10.25,0.675,0.546,0.636,0.61,0.585,False,False
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.741124119733,7409.99369567,HUR-05-20,56160,5,70.6,48.8,0.57,81.8,0.463,47.46,6.93,0.288,0.636,0.392,0.462,0.532,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.959482756948,9592.77501566,HUR-05-22,56161,5,63.4,33.6,0.39,77.3,0.391,47.46,7.13,0.311,0.546,0.381,0.428,0.476,False,False
Embalse,Valparaíso,Llaillay,Humedal no asociado a límite urbano,1.2709329741,12710.0562289,HUR-05-23,56162,5,103.0,109.4,1.27,86.4,0.5,49.19,10.99,0.761,0.728,0.751,0.744,0.738,False,False
Embalse,Valparaíso,Llaillay,Humedal no asociado a límite urbano,1.50553829098,15054.9918092,HUR-05-25,56163,5,92.1,94.1,1.1,86.4,0.489,47.46,7.63,0.37,0.728,0.477,0.549,0.621,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,3.44735585975,34465.5343767,HUR-05-31,56164,5,63.4,33.6,0.39,77.3,0.391,47.46,6.75,0.268,0.546,0.351,0.407,0.463,False,False
Humedal sector estadio L. Jelves,Valparaíso,Papudo,Humedal asociado a límite urbano,2.72314910986,27244.743996,HUR-05-35,56165,5,96.9,182.2,2.07,86.4,0.503,34.34,11.36,0.805,0.728,0.782,0.766,0.751,False,False
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,1.17534323246,11751.1628371,HUR-05-40,56166,5,63.4,33.6,0.39,77.3,0.391,47.46,6.54,0.242,0.546,0.333,0.394,0.455,False,False
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.14582970282,11456.0336537,HUR-05-42,56167,5,63.4,33.6,0.39,77.3,0.391,47.46,12.02,0.881,0.546,0.78,0.714,0.647,False,False
Humedal Jardín Botánico,Valparaíso,Viña del Mar,Humedal asociado a límite urbano,0.603407895982,6037.34513321,HUR-05-43,56168,5,113.6,176.6,2.42,90.9,0.612,41.07,14.18,1.0,0.818,0.945,0.909,0.873,True,True
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,2.40733176268,24068.0028936,HUR-05-45,56169,5,63.4,33.6,0.39,77.3,0.391,47.46,9.1,0.541,0.546,0.542,0.544,0.544,False,False
