nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.83262145303,18317.994501,,81606,5,138.9,101.6,1.12,81.8,0.483,68.9,5.62,0.135,0.636,0.285,0.386,0.486,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0598217727005,597.950201187,,81607,5,138.9,101.6,1.12,81.8,0.483,68.9,6.64,0.254,0.636,0.369,0.445,0.521,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0569620099671,569.366344626,,81608,5,138.9,101.6,1.12,81.8,0.483,68.9,7.47,0.351,0.636,0.436,0.494,0.55,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,16.9483995276,169407.181382,,81609,5,138.9,101.6,1.12,81.8,0.483,68.9,12.74,0.966,0.636,0.867,0.801,0.735,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0174602091466,174.52381433,,81610,5,138.9,101.6,1.12,81.8,0.483,68.9,5.91,0.169,0.636,0.309,0.402,0.496,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.334215765202,3340.64811641,,81611,5,138.9,101.6,1.12,81.8,0.483,68.9,6.94,0.289,0.636,0.393,0.462,0.532,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.30900663258,13083.7794371,,81612,5,138.9,101.6,1.12,81.8,0.483,68.9,6.47,0.235,0.636,0.355,0.436,0.516,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.133710190119,1336.49951363,,81613,5,138.9,101.6,1.12,81.8,0.483,68.9,6.0,0.18,0.636,0.317,0.408,0.499,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.31059488324,13099.9925,,81614,5,138.9,101.6,1.12,81.8,0.483,68.9,6.81,0.274,0.636,0.383,0.455,0.527,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.01091186729,20100.0035,,81615,5,138.9,101.6,1.12,81.8,0.483,68.9,4.67,0.025,0.636,0.208,0.33,0.453,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0643553031895,643.264265769,,81616,5,116.9,69.7,0.77,77.3,0.471,68.9,12.13,0.895,0.546,0.79,0.72,0.651,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.16052879696,11600.0015,,81617,5,116.9,69.7,0.77,77.3,0.471,68.9,5.1,0.075,0.546,0.216,0.31,0.405,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,12.6773878634,126715.829,,81618,5,116.9,69.7,0.77,77.3,0.471,68.9,8.69,0.493,0.546,0.509,0.52,0.53,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0722873935776,722.549975651,,81619,5,116.9,69.7,0.77,77.3,0.471,68.9,8.9,0.517,0.546,0.526,0.532,0.537,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.53024171816,5299.99650001,,81620,5,116.9,69.7,0.77,77.3,0.471,68.9,4.93,0.055,0.546,0.202,0.301,0.399,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.283626772488,2834.98578059,,81621,5,116.9,69.7,0.77,77.3,0.471,68.9,14.55,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0801091728206,800.73290271,,81622,5,116.9,69.7,0.77,77.3,0.471,68.9,7.05,0.302,0.546,0.375,0.424,0.473,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0735115774707,734.785544112,,81623,5,116.9,69.7,0.77,77.3,0.471,68.9,7.21,0.32,0.546,0.388,0.433,0.478,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.126359817494,1263.02781043,,81624,5,116.9,69.7,0.77,77.3,0.471,68.9,13.67,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.740343030894,7399.99300001,,81625,5,116.9,69.7,0.77,77.3,0.471,68.9,6.01,0.181,0.546,0.29,0.364,0.436,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.282993387332,2828.67655754,,81626,5,94.4,37.0,0.41,68.2,0.465,68.9,11.83,0.859,0.364,0.71,0.611,0.512,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.23939705751,22384.4762254,,81627,5,94.4,37.0,0.41,68.2,0.465,68.9,5.88,0.166,0.364,0.225,0.265,0.305,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0771136446245,770.809772415,,81628,5,94.4,37.0,0.41,68.2,0.465,68.9,8.11,0.426,0.364,0.407,0.395,0.383,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0376957619432,376.797979682,,81629,5,94.4,37.0,0.41,68.2,0.465,68.9,11.92,0.87,0.364,0.718,0.617,0.516,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.535141913482,5349.14615187,,81630,5,94.4,37.0,0.41,68.2,0.465,68.9,15.07,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.600281202808,5999.9995,,81631,5,116.9,69.7,0.77,77.3,0.471,68.9,4.59,0.015,0.546,0.174,0.28,0.387,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0452160877286,451.958065646,,81632,5,116.9,69.7,0.77,77.3,0.471,68.9,6.87,0.281,0.546,0.361,0.414,0.466,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.00661318506529,66.1022118915,,81633,5,116.9,69.7,0.77,77.3,0.471,68.9,7.32,0.333,0.546,0.397,0.44,0.482,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.144048686554,1439.84067822,,81634,5,116.9,69.7,0.77,77.3,0.471,68.9,6.59,0.248,0.546,0.337,0.397,0.457,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0742160729503,741.827099778,,81635,5,116.9,69.7,0.77,77.3,0.471,68.9,6.66,0.257,0.546,0.344,0.402,0.459,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.15053504141,11500.0035,,81636,5,116.9,69.7,0.77,77.3,0.471,68.9,8.27,0.445,0.546,0.475,0.496,0.516,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0818152580712,817.795211325,,81637,5,94.4,37.0,0.41,68.2,0.465,68.9,9.28,0.563,0.364,0.503,0.463,0.424,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0992244871674,991.810968153,,81638,5,94.4,37.0,0.41,68.2,0.465,68.9,8.34,0.453,0.364,0.426,0.408,0.391,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0708810415402,708.499256142,,81639,5,94.4,37.0,0.41,68.2,0.465,68.9,6.38,0.224,0.364,0.266,0.294,0.322,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.173496880115,1734.20628723,,81640,5,94.4,37.0,0.41,68.2,0.465,68.9,8.59,0.481,0.364,0.446,0.422,0.399,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.36925955066,3690.9836276,,81641,5,94.4,37.0,0.41,68.2,0.465,68.9,11.15,0.78,0.364,0.655,0.572,0.489,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0377490560723,377.326118483,,81642,5,94.4,37.0,0.41,68.2,0.465,68.9,5.58,0.13,0.364,0.2,0.247,0.294,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0925632895535,925.228720822,,81643,5,94.4,37.0,0.41,68.2,0.465,68.9,6.55,0.244,0.364,0.28,0.304,0.328,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.31561813024,23145.9212449,,81644,5,94.4,37.0,0.41,68.2,0.465,68.9,7.67,0.374,0.364,0.371,0.369,0.367,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.592417210384,5921.52012072,,81645,5,116.9,69.7,0.77,77.3,0.471,68.9,15.48,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.800392929526,7999.99899999,,81646,5,116.9,69.7,0.77,77.3,0.471,68.9,7.21,0.321,0.546,0.388,0.434,0.478,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.281032554365,2809.06697572,,81647,5,116.9,69.7,0.77,77.3,0.471,68.9,9.67,0.607,0.546,0.589,0.576,0.564,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.862690184667,8623.09396165,,81648,5,94.4,37.0,0.41,68.2,0.465,68.9,14.01,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.646110045969,6458.21346102,,81649,5,116.9,69.7,0.77,77.3,0.471,68.9,7.5,0.354,0.546,0.412,0.45,0.488,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0450755224236,450.553653693,,81650,5,116.9,69.7,0.77,77.3,0.471,68.9,6.14,0.196,0.546,0.301,0.371,0.441,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.69199742675,16912.4202896,,81651,5,116.9,69.7,0.77,77.3,0.471,68.9,16.23,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0531083548098,530.845649721,,81652,5,116.9,69.7,0.77,77.3,0.471,68.9,6.24,0.208,0.546,0.309,0.377,0.445,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.550243953933,5499.998,,81653,5,94.4,37.0,0.41,68.2,0.465,68.9,5.8,0.156,0.364,0.218,0.26,0.302,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0143311394169,143.247242212,,81654,5,116.9,69.7,0.77,77.3,0.471,68.9,7.33,0.334,0.546,0.398,0.44,0.482,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.98151972,19806.3792529,,81655,5,116.9,69.7,0.77,77.3,0.471,68.9,7.64,0.371,0.546,0.424,0.458,0.494,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.510229771371,5100.00250001,,81656,5,116.9,69.7,0.77,77.3,0.471,68.9,6.21,0.204,0.546,0.307,0.375,0.443,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.193840404988,1937.53579299,,81657,5,116.9,69.7,0.77,77.3,0.471,68.9,7.3,0.331,0.546,0.395,0.438,0.482,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0263519927936,263.401805833,,81658,5,116.9,69.7,0.77,77.3,0.471,68.9,7.36,0.338,0.546,0.4,0.442,0.484,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.45752913067,24564.5454417,,81659,5,94.4,37.0,0.41,68.2,0.465,68.9,9.96,0.642,0.364,0.559,0.503,0.447,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0548605407492,548.359907055,,81660,5,116.9,69.7,0.77,77.3,0.471,68.9,9.41,0.578,0.546,0.568,0.562,0.556,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0556808150061,556.558451022,,81661,5,116.9,69.7,0.77,77.3,0.471,68.9,9.13,0.545,0.546,0.545,0.546,0.546,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.137789959428,1377.29455741,,81662,5,94.4,37.0,0.41,68.2,0.465,68.9,5.9,0.168,0.364,0.227,0.266,0.305,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.33957504681,3394.21201522,,81663,5,116.9,69.7,0.77,77.3,0.471,68.9,13.84,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.25191502448,12513.4922889,,81664,5,116.9,69.7,0.77,77.3,0.471,68.9,10.13,0.661,0.546,0.626,0.604,0.58,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.572723381495,5724.64993602,,81665,5,116.9,69.7,0.77,77.3,0.471,68.9,7.52,0.357,0.546,0.414,0.452,0.489,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.580267846341,5799.99700001,,81666,5,116.9,69.7,0.77,77.3,0.471,68.9,4.54,0.009,0.546,0.17,0.278,0.385,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.71287666208,7125.52675523,,81667,5,116.9,69.7,0.77,77.3,0.471,68.9,6.49,0.237,0.546,0.33,0.392,0.453,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,10.3100540578,103054.648368,,81668,5,116.9,69.7,0.77,77.3,0.471,68.9,6.92,0.287,0.546,0.365,0.416,0.468,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.31113120938,23100.0045,,81669,5,116.9,69.7,0.77,77.3,0.471,68.9,7.03,0.299,0.546,0.373,0.422,0.472,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.54054948068,15398.7262649,,81670,5,94.4,37.0,0.41,68.2,0.465,68.9,13.07,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.73876362184,17379.9823543,,81671,5,94.4,37.0,0.41,68.2,0.465,68.9,15.01,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.880375896015,8799.99600001,,81672,5,94.4,37.0,0.41,68.2,0.465,68.9,4.43,0.0,0.364,0.109,0.182,0.255,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.859763956556,8593.91044925,,81673,5,94.4,37.0,0.41,68.2,0.465,68.9,7.35,0.337,0.364,0.345,0.351,0.356,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.61126297443,16105.5695786,,81674,5,94.4,37.0,0.41,68.2,0.465,68.9,6.78,0.271,0.364,0.299,0.318,0.336,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,6.24276092787,62399.4099823,,81675,5,116.9,69.7,0.77,77.3,0.471,68.9,7.12,0.31,0.546,0.381,0.428,0.475,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.132062977899,1320.05407571,,81676,5,94.4,37.0,0.41,68.2,0.465,68.9,13.43,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.212457367893,2123.63952111,,81677,5,94.4,37.0,0.41,68.2,0.465,68.9,7.79,0.388,0.364,0.381,0.376,0.371,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0661571549912,661.281221693,,81678,5,94.4,37.0,0.41,68.2,0.465,68.9,6.94,0.289,0.364,0.312,0.326,0.341,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.665787282119,6654.96496607,,81679,5,94.4,37.0,0.41,68.2,0.465,68.9,14.3,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.210195035216,2100.92020617,,81680,5,116.9,69.7,0.77,77.3,0.471,68.9,16.07,1.0,0.546,0.864,0.773,0.682,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.92453989017,29231.0406028,,81681,5,116.9,69.7,0.77,77.3,0.471,68.9,12.02,0.881,0.546,0.78,0.714,0.647,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.208251034287,2081.60276654,,81682,5,94.4,37.0,0.41,68.2,0.465,68.9,8.21,0.437,0.364,0.415,0.4,0.386,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.753899823182,7535.6650795,,81683,5,94.4,37.0,0.41,68.2,0.465,68.9,12.15,0.896,0.364,0.736,0.63,0.524,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.346633699726,3464.81727762,,81684,5,94.4,37.0,0.41,68.2,0.465,68.9,7.6,0.367,0.364,0.366,0.366,0.365,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.461839584449,4616.37732506,,81685,5,94.4,37.0,0.41,68.2,0.465,68.9,7.59,0.365,0.364,0.365,0.364,0.364,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.97095821703,19700.0075,,81686,5,116.9,69.7,0.77,77.3,0.471,68.9,7.47,0.352,0.546,0.41,0.449,0.488,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.850390263564,8499.9985,,81687,5,116.9,69.7,0.77,77.3,0.471,68.9,5.6,0.133,0.546,0.257,0.34,0.422,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.07051705391,10700.0005,,81688,5,116.9,69.7,0.77,77.3,0.471,68.9,6.25,0.209,0.546,0.31,0.378,0.445,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.132752121398,1326.92816937,,81689,5,116.9,69.7,0.77,77.3,0.471,68.9,7.34,0.336,0.546,0.399,0.441,0.483,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.374373044333,3742.07710935,,81690,5,94.4,37.0,0.41,68.2,0.465,68.9,8.68,0.492,0.364,0.454,0.428,0.402,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.16800273164,11674.3860804,,81691,5,116.9,69.7,0.77,77.3,0.471,68.9,5.86,0.163,0.546,0.278,0.355,0.431,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.60333912275,16025.638164,,81692,5,116.9,69.7,0.77,77.3,0.471,68.9,7.42,0.345,0.546,0.405,0.446,0.486,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.630333863342,6300.52829454,,81693,5,116.9,69.7,0.77,77.3,0.471,68.9,8.78,0.504,0.546,0.517,0.525,0.533,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.748311167535,7479.51673385,,81694,5,116.9,69.7,0.77,77.3,0.471,68.9,10.84,0.744,0.546,0.685,0.645,0.605,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.36105434621,13603.987976,,81695,5,116.9,69.7,0.77,77.3,0.471,68.9,8.57,0.479,0.546,0.499,0.512,0.526,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,9.56872546113,95641.550148,,81696,5,116.9,69.7,0.77,77.3,0.471,68.9,5.77,0.153,0.546,0.271,0.35,0.428,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.550255738133,5499.99350001,,81697,5,116.9,69.7,0.77,77.3,0.471,68.9,6.15,0.197,0.546,0.302,0.372,0.441,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.03045647532,10299.9975,,81698,5,94.4,37.0,0.41,68.2,0.465,68.9,7.72,0.38,0.364,0.375,0.372,0.369,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.520249621568,5199.99680407,,81699,5,116.9,69.7,0.77,77.3,0.471,68.9,8.03,0.417,0.546,0.456,0.482,0.507,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.94012097807,29387.1176124,,81700,5,116.9,69.7,0.77,77.3,0.471,68.9,8.14,0.429,0.546,0.464,0.488,0.511,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,7.88799630423,78842.2271298,,81701,5,116.9,69.7,0.77,77.3,0.471,68.9,5.04,0.068,0.546,0.211,0.307,0.403,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,11.7580154519,117524.460231,,81702,5,116.9,69.7,0.77,77.3,0.471,68.9,8.56,0.478,0.546,0.498,0.512,0.526,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.13918185352,11386.420863,,81703,5,116.9,69.7,0.77,77.3,0.471,68.9,7.99,0.411,0.546,0.451,0.479,0.505,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.08099564263,20800.0035,,81704,5,116.9,69.7,0.77,77.3,0.471,68.9,12.65,0.955,0.546,0.832,0.75,0.669,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.160615516652,1605.38291382,,81705,5,116.9,69.7,0.77,77.3,0.471,68.9,6.55,0.244,0.546,0.335,0.395,0.455,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,18.9045627246,188955.732809,,81706,5,116.9,69.7,0.77,77.3,0.471,68.9,5.23,0.089,0.546,0.226,0.318,0.409,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0841370008277,840.967638319,,81707,5,116.9,69.7,0.77,77.3,0.471,68.9,7.5,0.354,0.546,0.412,0.45,0.488,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.495656268367,4954.19805477,,81708,5,116.9,69.7,0.77,77.3,0.471,68.9,7.12,0.31,0.546,0.381,0.428,0.475,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.110934444562,1108.85517262,,81709,5,94.4,37.0,0.41,68.2,0.465,68.9,6.69,0.26,0.364,0.291,0.312,0.333,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.32062972051,13199.9975,,81710,5,116.9,69.7,0.77,77.3,0.471,68.9,9.41,0.577,0.546,0.568,0.562,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.655388943462,6550.99692661,,81711,5,94.4,37.0,0.41,68.2,0.465,68.9,7.63,0.37,0.364,0.368,0.367,0.366,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.813346919299,8129.8909977,,81712,5,94.4,37.0,0.41,68.2,0.465,68.9,11.85,0.862,0.364,0.713,0.613,0.513,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.146012372157,1459.48467038,,81713,5,94.4,37.0,0.41,68.2,0.465,68.9,8.97,0.526,0.364,0.477,0.445,0.413,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.31530252193,3151.63946764,,81714,5,94.4,37.0,0.41,68.2,0.465,68.9,6.18,0.201,0.364,0.25,0.282,0.315,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0629109583591,628.833232111,,81715,5,94.4,37.0,0.41,68.2,0.465,68.9,10.24,0.674,0.364,0.581,0.519,0.457,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,4.90208817533,48999.9865,,81716,5,94.4,37.0,0.41,68.2,0.465,68.9,13.83,1.0,0.364,0.809,0.682,0.555,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.39807263767,13974.5987043,,81717,5,94.4,37.0,0.41,68.2,0.465,68.9,7.94,0.405,0.364,0.393,0.384,0.376,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.640272308621,6400.0,,81718,5,94.4,37.0,0.41,68.2,0.465,68.9,4.83,0.043,0.364,0.139,0.204,0.268,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,14.7531418916,147460.83867,,81719,5,116.9,69.7,0.77,77.3,0.471,68.9,9.1,0.542,0.546,0.543,0.544,0.545,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,4.44302193993,44407.9968414,,81720,5,116.9,69.7,0.77,77.3,0.471,68.9,6.57,0.246,0.546,0.336,0.396,0.456,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.690912714825,6906.10580211,,81721,5,94.4,37.0,0.41,68.2,0.465,68.9,12.16,0.898,0.364,0.738,0.631,0.524,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.182336940317,1822.58606403,,81722,5,94.4,37.0,0.41,68.2,0.465,68.9,6.42,0.229,0.364,0.269,0.296,0.324,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.949112612492,9487.04381617,,81723,5,94.4,37.0,0.41,68.2,0.465,68.9,12.5,0.937,0.364,0.765,0.651,0.536,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,3.80172900321,38000.0065,,81724,5,116.9,69.7,0.77,77.3,0.471,68.9,7.21,0.321,0.546,0.388,0.434,0.478,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,9.47474797099,94699.983,,81725,5,116.9,69.7,0.77,77.3,0.471,68.9,7.71,0.38,0.546,0.43,0.463,0.496,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.560280412025,5600.0,,81726,5,116.9,69.7,0.77,77.3,0.471,68.9,6.05,0.185,0.546,0.293,0.366,0.438,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.47072392619,14700.0075,,81727,5,116.9,69.7,0.77,77.3,0.471,68.9,5.65,0.139,0.546,0.261,0.342,0.424,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.580290405312,5799.99799999,,81728,5,116.9,69.7,0.77,77.3,0.471,68.9,10.67,0.725,0.546,0.671,0.636,0.6,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,2.50808773251,25068.3521094,,81729,5,116.9,69.7,0.77,77.3,0.471,68.9,6.68,0.26,0.546,0.346,0.403,0.46,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.53076903734,15300.001,,81730,5,124.8,49.7,0.55,72.7,0.477,83.35,7.14,0.313,0.454,0.355,0.384,0.412,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.358910088512,3587.31518386,,81731,5,116.9,69.7,0.77,77.3,0.471,68.9,9.15,0.547,0.546,0.547,0.546,0.546,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,3.92190260541,39199.993,,81732,5,116.9,69.7,0.77,77.3,0.471,68.9,4.99,0.062,0.546,0.207,0.304,0.401,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.06051785267,10599.993,,81733,5,116.9,69.7,0.77,77.3,0.471,68.9,5.4,0.109,0.546,0.24,0.328,0.415,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,3.59534846108,35935.5500721,,81734,5,116.9,69.7,0.77,77.3,0.471,68.9,6.95,0.29,0.546,0.367,0.418,0.469,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.34065674693,13400.0,,81735,5,116.9,69.7,0.77,77.3,0.471,68.9,5.49,0.12,0.546,0.248,0.333,0.418,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.986477796284,9859.87549998,,81736,5,116.9,69.7,0.77,77.3,0.471,68.9,5.82,0.159,0.546,0.275,0.353,0.43,False,False
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,5.30239153791,53000.0005,,81737,5,116.9,69.7,0.77,77.3,0.471,68.9,10.2,0.67,0.546,0.633,0.608,0.583,False,False
