nom_humed,comuna,concavidad,depresion_m,acc_topo
Des.Estero Mantagua,Quintero,-0.006,0.0,0.0
Estero Mantagua,Quintero,-0.0001,8.96,1.0
Estero Reñaca,Viña del Mar,-0.0002,0.46,0.069
Estero Limache,Concón,-0.0021,0.0,0.0
Estero Limache,Concón,-0.0014,0.0,0.0
Estero Limache,Limache,-0.0026,0.61,0.091
Estero Limache,Concón,-0.0003,0.38,0.056
Estero San Juan,San Antonio,-0.0018,0.0,0.0
Estero El Jote,Casablanca,-0.0094,0.0,0.0
Humedal Estero Guaquen,La Ligua,0.0002,0.0,0.022
Sin identificar,La Ligua,0.0002,0.0,0.019
Des. Estero Curaumilla,Valparaíso,-0.0195,0.0,0.0
Estero El Membrillo,Casablanca,-0.0032,0.0,0.0
Estero El Membrillo,Algarrobo,-0.0132,1.52,0.226
Estero San Jeronimo,Casablanca,-0.0106,0.0,0.0
Estero San Jeronimo,Casablanca,-0.0182,1.05,0.156
Estero San Jeronimo,Casablanca,-0.0089,2.37,0.351
Estero San Jeronimo,Casablanca,-0.0138,2.27,0.337
Estero San Jeronimo,Casablanca,-0.0083,0.0,0.0
Estero San Jeronimo,Casablanca,-0.0171,1.63,0.242
Estero San Jeronimo,Casablanca,-0.0157,0.0,0.0
Estero San Jeronimo,Casablanca,-0.0092,0.0,0.0
Estero San Jeronimo,Casablanca,-0.0103,0.93,0.138
Estero San Jeronimo,Casablanca,-0.0013,2.5,0.371
Estero San Jeronimo,Algarrobo,-0.0163,0.0,0.0
Estero San Jeronimo,Algarrobo,-0.0148,0.0,0.0
Estero San Jeronimo,Algarrobo,-0.0138,2.27,0.337
Estero San Jeronimo,Algarrobo,-0.0101,0.0,0.0
Estero San Jeronimo,Algarrobo,-0.017,0.96,0.142
Estero San Jeronimo,Algarrobo,-0.0134,0.79,0.117
Estero San Jeronimo,Algarrobo,-0.0135,4.49,0.665
Estero Cartagena,Cartagena,0.0001,0.52,0.077
Estero del Rosario de Cordova,Casablanca,-0.0029,0.0,0.0
Estero del Rosario de Cordova,El Quisco,0.0004,1.83,0.271
Estero del Rosario de Cordova,El Quisco,-0.0069,2.47,0.367
