nom_humed,comuna,concavidad,depresion_m,acc_topo
Sin información,Calle Larga,-0.0093,0.0,0.0
Sin información,Calle Larga,-0.0012,0.0,0.0
Sin información,Los Andes,-0.0012,0.0,0.0
Sin información,Los Andes,-0.0,0.0,0.004
Sin información,Los Andes,-0.0007,0.0,0.0
Sin información,Los Andes,-0.0052,0.0,0.0
Sin información,Los Andes,-0.0054,0.0,0.0
Sin información,Los Andes,-0.0063,0.0,0.0
Sin información,Los Andes,-0.0,0.0,0.005
Sin información,Los Andes,-0.0144,0.0,0.0
Sin información,Los Andes,0.0031,0.0,0.228
Sin información,Los Andes,-0.0009,0.0,0.0
Sin información,Los Andes,-0.0046,0.0,0.0
Sin información,Los Andes,-0.0052,0.0,0.0
Sin información,Los Andes,-0.0018,0.0,0.0
Sin información,Los Andes,-0.0033,0.0,0.0
Sin información,Los Andes,-0.0019,0.0,0.0
Sin información,Los Andes,-0.0069,0.0,0.0
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Calle Larga,-0.0038,0.0,0.0
Sin información,Los Andes,-0.0059,0.0,0.0
Sin información,Los Andes,-0.0063,0.0,0.0
Sin información,Los Andes,-0.0001,0.0,0.0
Sin información,Los Andes,-0.007,0.0,0.0
Sist. Rio Aconcagua y trib,Calle Larga,0.0047,0.0,0.337
Sin información,Los Andes,-0.0066,0.0,0.0
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,-0.0015,0.0,0.0
Sin información,Los Andes,0.0015,0.0,0.113
Sin información,Los Andes,0.0003,0.0,0.029
Sin información,Calle Larga,-0.0158,0.0,0.0
Sin información,Los Andes,-0.0007,0.0,0.0
Sin información,Los Andes,-0.0011,0.0,0.0
Sin información,Los Andes,-0.0048,0.0,0.0
Sin información,Los Andes,-0.0024,0.0,0.0
Sin información,Los Andes,-0.0019,0.0,0.0
Sin información,Calle Larga,-0.0089,0.0,0.0
Sin información,Los Andes,-0.0073,0.0,0.0
Sin información,Los Andes,-0.0083,0.0,0.0
Sin información,Los Andes,0.0018,0.0,0.13
Sin información,Los Andes,-0.0066,0.0,0.0
Sin información,Los Andes,-0.0119,0.0,0.0
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Los Andes,-0.0041,0.0,0.0
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Los Andes,-0.016,0.0,0.0
Sin información,Los Andes,-0.0019,0.0,0.0
Sin información,Los Andes,-0.0006,0.0,0.0
Sin información,Los Andes,-0.0043,0.0,0.0
Sin información,Los Andes,-0.0073,0.0,0.0
Sin información,Los Andes,-0.0004,0.0,0.0
Sin información,Los Andes,-0.003,0.0,0.0
Sin información,Los Andes,-0.0205,0.0,0.0
Sin información,Los Andes,-0.0138,0.0,0.0
Sin información,Los Andes,-0.0015,0.0,0.0
Sin información,Los Andes,-0.0024,0.0,0.0
Sin información,Los Andes,-0.0013,0.0,0.0
Sin información,Los Andes,-0.0005,0.0,0.0
Sin información,Los Andes,-0.0021,0.0,0.0
Sin información,Los Andes,-0.0042,0.0,0.0
Sin información,Los Andes,-0.0125,0.0,0.0
Sin información,Los Andes,-0.0194,0.0,0.0
Sin información,Los Andes,-0.0186,0.0,0.0
Sin información,Los Andes,-0.0017,0.0,0.0
Sin información,Los Andes,-0.0042,0.0,0.0
Sin información,Los Andes,0.0001,0.0,0.011
Sin información,Los Andes,-0.0003,0.0,0.0
Sin información,Los Andes,0.0096,0.0,0.69
Sin información,Los Andes,-0.0002,0.0,0.0
Sin información,Los Andes,-0.0088,0.0,0.0
Sin información,Los Andes,-0.0032,0.0,0.0
Sin información,Los Andes,-0.0033,0.0,0.0
Sin información,Los Andes,0.0048,0.0,0.351
Sin información,Los Andes,-0.0041,0.0,0.0
Sin información,Los Andes,-0.0043,0.0,0.0
Sin información,Los Andes,-0.0112,0.0,0.0
Sin información,Los Andes,-0.0037,0.0,0.0
Sin información,Los Andes,0.0006,0.0,0.046
Sin información,Los Andes,-0.0003,0.0,0.0
Sin información,Los Andes,-0.0014,0.0,0.0
Sin información,Los Andes,-0.0065,0.0,0.0
Sin información,Los Andes,-0.0153,0.0,0.0
Sin información,Los Andes,-0.0136,0.0,0.0
Sin información,Los Andes,-0.0123,0.0,0.0
Sin información,Los Andes,-0.0029,0.0,0.0
Sin información,Los Andes,-0.0174,0.0,0.0
Sin información,Los Andes,-0.0004,0.0,0.0
Sin información,Los Andes,-0.0081,0.0,0.0
Sin información,Los Andes,-0.0137,0.0,0.0
Sin información,Los Andes,-0.0011,0.0,0.0
Sin información,Los Andes,-0.0094,0.0,0.0
Sin información,Los Andes,-0.001,0.0,0.0
Sin información,Los Andes,-0.0035,0.0,0.0
Sin información,Los Andes,-0.0027,0.0,0.0
Sin información,Los Andes,-0.0,0.0,0.003
Sin información,Los Andes,-0.007,0.0,0.0
Sin información,Los Andes,-0.0087,0.0,0.0
Sin información,Los Andes,-0.0089,0.0,0.0
Sin información,Los Andes,0.0039,0.0,0.285
Sin información,Los Andes,-0.004,0.0,0.0
Sin información,Los Andes,-0.0038,0.0,0.0
Sin información,Los Andes,-0.0032,0.0,0.0
Sin información,Los Andes,-0.0003,0.0,0.0
Sin información,Los Andes,-0.0122,0.0,0.0
Sin información,Los Andes,-0.0001,0.0,0.0
Sin información,Los Andes,-0.0058,0.0,0.0
Sin información,Los Andes,-0.0026,0.0,0.0
Sin información,Los Andes,-0.0054,0.0,0.0
Sin información,Los Andes,0.0001,0.0,0.012
Sin información,Los Andes,0.0055,0.0,0.398
Sin información,Los Andes,-0.0121,0.0,0.0
Sin información,Los Andes,-0.0098,0.0,0.0
Sin información,Los Andes,-0.0151,0.0,0.0
Sin información,Los Andes,-0.0163,0.0,0.0
Sin información,Los Andes,-0.0108,0.0,0.0
Sin información,Los Andes,-0.0055,0.0,0.0
Sin información,Calle Larga,-0.0054,0.0,0.0
Sin información,Calle Larga,0.0002,0.0,0.019
Sin información,Calle Larga,-0.0087,0.0,0.0
Sin información,Calle Larga,-0.0068,0.0,0.0
Sin información,Los Andes,0.0018,0.0,0.132
Sin información,Los Andes,0.0002,0.0,0.017
Sin información,Los Andes,-0.0091,0.0,0.0
Sin información,Los Andes,-0.0143,0.0,0.0
Sin información,Los Andes,-0.0154,0.0,0.0
Sin información,Los Andes,-0.0059,0.0,0.0
Sin información,Los Andes,-0.0137,0.0,0.0
Sin información,Los Andes,-0.0001,0.0,0.0
Sin información,Los Andes,-0.0072,0.0,0.0
Sin información,Los Andes,-0.0148,0.0,0.0
Sin información,Los Andes,-0.002,0.0,0.0
Sin información,Los Andes,-0.0138,0.0,0.0
Sin información,Los Andes,0.0058,0.0,0.419
Sin información,Los Andes,-0.0118,0.0,0.0
Sin información,Los Andes,0.0002,0.0,0.017
Sin información,Los Andes,-0.0055,0.0,0.0
Sin información,Los Andes,-0.0047,0.0,0.0
Sin información,Los Andes,-0.0028,0.0,0.0
Sin información,Los Andes,-0.0037,0.0,0.0
Sin información,Los Andes,-0.0088,0.0,0.0
Sin información,Los Andes,-0.0075,0.0,0.0
Sin información,Los Andes,-0.0206,0.0,0.0
Sin información,Los Andes,-0.0042,0.0,0.0
Sin información,Los Andes,-0.0094,0.0,0.0
Sin información,San Esteban,0.0064,0.0,0.458
Sin información,San Esteban,0.0202,0.0,1.0
Sin información,San Esteban,-0.0145,0.0,0.0
Sin información,San Esteban,0.0005,0.0,0.039
Sin información,San Esteban,0.0015,0.0,0.113
Sin información,San Esteban,0.0019,0.0,0.144
Sin información,San Esteban,0.0077,0.0,0.557
Sin información,San Esteban,-0.022,0.0,0.0
Sin información,San Esteban,-0.0109,0.0,0.0
Sin información,San Esteban,-0.0033,0.0,0.0
Sin información,San Esteban,-0.0079,0.0,0.0
Sin información,San Esteban,-0.0076,0.0,0.0
Sin información,San Esteban,-0.0006,0.0,0.0
Sin información,San Esteban,0.0012,0.0,0.094
Sin información,San Esteban,-0.0023,0.0,0.0
Sin información,San Esteban,-0.0014,0.0,0.0
Sin información,San Esteban,0.0002,0.0,0.023
Sin información,San Esteban,-0.0082,0.0,0.0
Sin información,San Esteban,0.0012,0.0,0.091
Sin información,San Esteban,-0.0016,0.0,0.0
Sin información,San Esteban,0.0006,0.0,0.051
Sin información,San Esteban,-0.004,0.0,0.0
Sin información,San Esteban,-0.0091,0.0,0.0
Sin información,San Esteban,-0.0046,0.0,0.0
Sin información,San Esteban,0.0042,0.0,0.305
Sin información,San Esteban,0.0062,0.0,0.447
Sin información,San Esteban,-0.0021,0.0,0.0
Sin información,San Esteban,-0.008,0.0,0.0
Sin información,San Esteban,0.0019,0.0,0.141
Sin información,San Esteban,-0.0052,0.0,0.0
Sin información,San Esteban,-0.0073,0.0,0.0
Sin información,San Esteban,-0.0044,0.0,0.0
Sin información,San Esteban,0.0003,0.0,0.027
Sin información,San Esteban,-0.0004,0.0,0.0
Sin información,San Esteban,-0.0002,0.0,0.0
Sin información,San Esteban,-0.0002,0.0,0.0
Sin información,San Esteban,0.0005,0.0,0.04
Sin información,San Esteban,0.0004,0.0,0.036
Sin información,San Esteban,0.0057,0.0,0.414
Sin información,San Esteban,-0.0113,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,-0.0054,0.0,0.0
Sin información,San Esteban,-0.0028,0.0,0.0
Sin información,San Esteban,-0.0087,0.0,0.0
Sin información,San Esteban,-0.0015,0.0,0.0
Sin información,San Esteban,-0.0104,0.0,0.0
Sin información,San Esteban,0.0015,0.0,0.112
Sin información,San Esteban,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0037,0.0,0.0
Sin información,San Esteban,-0.0042,0.0,0.0
Sin información,San Esteban,-0.0052,0.0,0.0
Sin información,San Esteban,-0.0068,0.0,0.0
Sin información,San Esteban,-0.0017,0.0,0.0
Sin información,San Esteban,0.0047,0.0,0.342
Sin información,San Esteban,-0.0087,0.0,0.0
Sin información,San Esteban,-0.007,0.0,0.0
Sin información,San Esteban,0.0025,0.0,0.183
Sin información,San Esteban,-0.0078,0.0,0.0
Sin información,San Esteban,-0.0131,0.0,0.0
Sin información,San Esteban,-0.0076,0.0,0.0
Sin información,San Esteban,-0.0046,0.0,0.0
Sin información,San Esteban,-0.0002,0.0,0.0
Sin información,San Esteban,0.0007,0.0,0.058
Sin información,San Esteban,-0.0008,0.0,0.0
Sin información,San Esteban,-0.0021,0.0,0.0
Sin información,San Esteban,-0.0003,0.0,0.0
Sin información,San Esteban,-0.0048,0.0,0.0
Sin información,San Esteban,-0.0102,0.0,0.0
Sin información,San Esteban,0.0003,0.0,0.031
Sin información,San Esteban,-0.0027,0.0,0.0
Sin información,San Esteban,-0.0025,0.0,0.0
Sin información,San Esteban,-0.0076,0.0,0.0
Sin información,San Esteban,-0.0095,0.0,0.0
Sin información,San Esteban,-0.0024,0.0,0.0
Sin información,San Esteban,-0.006,0.0,0.0
Sin información,San Esteban,-0.0062,0.0,0.0
Sin información,San Esteban,-0.0047,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,-0.0075,0.0,0.0
Sin información,San Esteban,-0.0114,0.0,0.0
Sin información,San Esteban,-0.0064,0.0,0.0
Sin información,San Esteban,-0.0039,0.0,0.0
Sin información,San Esteban,-0.0047,0.0,0.0
Sin información,San Esteban,-0.0013,0.0,0.0
Sin información,San Esteban,-0.0009,0.0,0.0
Sin información,San Esteban,-0.0133,0.0,0.0
Sin información,San Esteban,0.0004,0.0,0.036
Sist. Rio Aconcagua y trib,San Esteban,-0.0126,0.0,0.0
Sin información,San Esteban,0.0042,0.0,0.308
Sin información,San Esteban,-0.0054,0.0,0.0
Sin información,San Esteban,-0.0006,0.0,0.0
Sin información,San Esteban,-0.0024,0.0,0.0
Sin información,San Esteban,-0.0108,0.0,0.0
Sin información,San Esteban,-0.0057,0.0,0.0
Sin información,San Esteban,-0.008,0.0,0.0
Sin información,San Esteban,-0.0061,0.0,0.0
Sin información,San Esteban,-0.007,0.0,0.0
Sin información,San Esteban,-0.0071,0.0,0.0
Sin información,San Esteban,-0.0047,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,0.0071,0.0,0.511
Sin información,San Esteban,-0.0034,0.0,0.0
Sin información,San Esteban,-0.0123,0.0,0.0
Sin información,San Esteban,-0.006,0.0,0.0
Sin información,San Esteban,-0.0026,0.0,0.0
Sin información,San Esteban,-0.0046,0.0,0.0
Sin información,San Esteban,-0.0065,0.0,0.0
Sist. Rio Aconcagua y trib,San Esteban,-0.0074,0.0,0.0
Sist. Rio Aconcagua y trib,San Esteban,-0.0104,0.0,0.0
Sin información,San Esteban,-0.0052,0.0,0.0
Sin información,San Esteban,-0.0074,0.0,0.0
Sin información,San Esteban,0.0003,0.0,0.028
Sin información,San Esteban,-0.001,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,-0.0076,0.0,0.0
Sin información,San Esteban,-0.0032,0.0,0.0
Sin información,San Esteban,0.0015,0.0,0.113
Sin información,San Esteban,-0.0044,0.0,0.0
Sin información,San Esteban,-0.0056,0.0,0.0
Sin información,San Esteban,-0.0092,0.0,0.0
Sin información,San Esteban,-0.0018,0.0,0.0
Sist. Rio Aconcagua y trib,San Esteban,-0.0026,0.0,0.0
Sist. Rio Aconcagua y trib,San Esteban,-0.0075,0.0,0.0
Sin información,San Esteban,-0.0016,0.0,0.0
Sin información,San Esteban,-0.0006,0.0,0.0
Sin información,San Esteban,-0.0043,0.0,0.0
Sin información,San Esteban,-0.0067,0.0,0.0
Sin información,San Esteban,-0.0007,0.0,0.0
Sin información,San Esteban,-0.0086,0.0,0.0
Sin información,San Esteban,0.0029,0.0,0.21
Sin información,San Esteban,-0.0101,0.0,0.0
Sin información,San Esteban,-0.0077,0.0,0.0
Sin información,San Esteban,-0.0001,0.0,0.0
Sin información,San Esteban,-0.0016,0.0,0.0
Sin información,San Esteban,-0.0155,0.0,0.0
Sin información,San Esteban,-0.0021,0.0,0.0
Sin información,San Esteban,-0.0025,0.0,0.0
Sin información,San Esteban,0.0038,0.0,0.278
Sin información,San Esteban,-0.0037,0.0,0.0
Sin información,San Esteban,-0.0022,0.0,0.0
Sin información,San Esteban,0.0008,0.0,0.061
Sin información,San Esteban,-0.0095,0.0,0.0
Sin información,San Esteban,-0.0014,0.0,0.0
Sin información,San Esteban,-0.0099,0.0,0.0
Sin información,San Esteban,-0.0074,0.0,0.0
Sin información,San Esteban,-0.0029,0.0,0.0
Sin información,San Esteban,-0.0015,0.0,0.0
Sin información,San Esteban,-0.0002,0.0,0.0
Sin información,San Esteban,0.0015,0.0,0.114
Sin información,San Esteban,0.0027,0.0,0.195
Sin información,San Esteban,-0.0021,0.0,0.0
Sin información,San Esteban,-0.0011,0.0,0.0
Sin información,San Esteban,0.0012,0.0,0.088
Sin información,San Esteban,0.0039,0.0,0.28
Sin información,San Esteban,0.0005,0.0,0.042
Sin información,San Esteban,-0.0025,0.0,0.0
Sin información,San Esteban,0.001,0.0,0.079
Sin información,San Esteban,-0.0019,0.0,0.0
Sin información,San Esteban,-0.0011,0.0,0.0
Sin información,San Esteban,-0.0039,0.0,0.0
Sin información,San Esteban,-0.0051,0.0,0.0
Sin información,San Esteban,-0.0028,0.0,0.0
Sin información,San Esteban,-0.0006,0.0,0.0
Sin información,San Esteban,-0.0051,0.0,0.0
Sin información,San Esteban,0.0006,0.0,0.045
Sin información,San Esteban,-0.0038,0.0,0.0
Sin información,Santa María,-0.01,0.0,0.0
Sin información,San Esteban,-0.0015,0.0,0.0
Sin información,San Esteban,-0.0071,0.0,0.0
Sin información,San Esteban,-0.0035,0.0,0.0
Sin información,San Esteban,-0.0042,0.0,0.0
Sin información,San Esteban,-0.0051,0.0,0.0
Sin información,Santa María,-0.0021,0.0,0.0
Sin información,San Esteban,-0.0031,0.0,0.0
Sin información,San Esteban,-0.0079,0.0,0.0
Sin información,San Esteban,-0.0032,0.0,0.0
Sin información,San Esteban,-0.0042,0.0,0.0
Sin información,San Esteban,0.0034,0.0,0.25
Sin información,Santa María,-0.0042,0.0,0.0
Sin información,San Esteban,-0.0033,0.0,0.0
Sin información,San Esteban,-0.002,0.0,0.0
Sin información,Santa María,-0.0039,0.0,0.0
Sin información,San Esteban,-0.0051,0.0,0.0
Sin información,San Esteban,-0.0019,0.0,0.0
Sin información,San Esteban,-0.0031,0.0,0.0
Sin información,San Esteban,-0.0063,0.0,0.0
Sin información,San Esteban,0.0035,0.0,0.258
Sin información,San Esteban,-0.0074,0.0,0.0
Sin información,San Esteban,-0.0045,0.0,0.0
Sin información,San Esteban,-0.0058,0.0,0.0
Sin información,San Esteban,-0.0,0.0,0.005
Sin información,San Esteban,-0.001,0.0,0.0
Sin información,San Esteban,-0.0056,0.0,0.0
Sin información,San Esteban,-0.0047,0.0,0.0
Sin información,San Esteban,-0.0064,0.0,0.0
Sin información,San Esteban,-0.0083,0.0,0.0
Sin información,San Esteban,-0.0023,0.0,0.0
Sin información,San Esteban,-0.0024,0.0,0.0
Sin información,San Esteban,-0.0003,0.0,0.0
Sin información,San Esteban,-0.0011,0.0,0.0
Sin información,San Esteban,-0.0027,0.0,0.0
Sin información,Santa María,0.0015,0.0,0.111
Sin información,San Esteban,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0043,0.0,0.0
Sin información,San Esteban,-0.0005,0.0,0.0
Sin información,San Esteban,-0.0031,0.0,0.0
Sin información,San Esteban,-0.0057,0.0,0.0
Sin información,San Esteban,-0.0054,0.0,0.0
Sin información,San Esteban,-0.0047,0.0,0.0
Sin información,San Esteban,0.0006,0.0,0.046
Sin información,San Esteban,-0.0005,0.0,0.0
Sin información,San Esteban,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0015,0.0,0.0
Sin información,San Esteban,-0.0008,0.0,0.0
Sin información,San Esteban,-0.0029,0.0,0.0
Sin información,San Esteban,-0.0086,0.0,0.0
Sin información,San Esteban,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0027,0.0,0.0
Sin información,San Esteban,-0.0062,0.0,0.0
Sin información,San Esteban,-0.0035,0.0,0.0
Sin información,San Esteban,-0.0004,0.0,0.0
Sin información,San Esteban,-0.0068,0.0,0.0
Sin información,San Esteban,-0.0025,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,-0.0037,0.0,0.0
Sin información,San Esteban,-0.0032,0.0,0.0
Sin información,San Esteban,-0.0012,0.0,0.0
Sin información,San Esteban,-0.0059,0.0,0.0
Sin información,Santa María,-0.0013,3.37,0.5
Sin información,San Esteban,-0.0019,0.0,0.0
Sin información,San Esteban,-0.0079,0.0,0.0
Sin información,San Esteban,-0.0025,0.0,0.0
Sin información,San Esteban,0.0031,0.0,0.229
Sin información,San Esteban,-0.0036,0.0,0.0
Sin información,San Esteban,-0.0008,0.0,0.0
Sin información,San Esteban,0.0057,0.0,0.409
Sin información,San Esteban,-0.0147,0.0,0.0
Sin información,Santa María,0.0094,0.0,0.677
Sin información,San Esteban,-0.0024,0.0,0.0
Sin información,San Esteban,0.0005,0.0,0.044
Sin información,Putaendo,-0.0094,0.0,0.0
Sin información,San Esteban,-0.0023,0.0,0.0
Sin información,Putaendo,-0.0013,0.0,0.0
Sin información,San Esteban,0.002,0.0,0.147
Sin información,Putaendo,0.0017,0.0,0.128
Sin información,Putaendo,0.0013,0.0,0.097
Sin información,Putaendo,0.001,0.0,0.08
Sin información,Putaendo,-0.0036,0.0,0.0
Sin información,Putaendo,0.0002,0.0,0.02
Sin información,Putaendo,0.0014,0.0,0.104
Sin información,Putaendo,-0.0005,0.0,0.0
Sin información,Putaendo,-0.0039,0.0,0.0
Sin información,San Esteban,-0.0085,0.0,0.0
Sin información,Putaendo,0.0006,0.0,0.048
Sin información,Putaendo,-0.0059,0.0,0.0
Sin información,Putaendo,-0.0158,0.0,0.0
Sin información,Putaendo,-0.006,0.0,0.0
Sin información,Putaendo,0.0002,0.0,0.018
Sin información,Putaendo,0.0009,0.0,0.069
Sin información,Putaendo,-0.0017,0.0,0.0
Sin información,San Esteban,-0.0085,0.0,0.0
Sin información,San Esteban,-0.0022,0.0,0.0
Sin información,Putaendo,-0.0031,0.0,0.0
Sin información,Putaendo,-0.0015,0.0,0.0
Sin información,San Esteban,-0.0024,0.0,0.0
Sin información,Putaendo,-0.0024,0.0,0.0
Sin información,Putaendo,0.0007,0.0,0.055
Sin información,Putaendo,-0.0029,0.0,0.0
Sin información,Putaendo,-0.01,0.0,0.0
Sin información,Putaendo,0.0014,0.0,0.107
Sin información,Putaendo,0.0048,0.0,0.348
Sin información,Putaendo,-0.0043,0.0,0.0
Sin información,Putaendo,0.0016,0.0,0.121
Sin información,Putaendo,0.0005,0.0,0.043
Sin información,Putaendo,-0.001,0.0,0.0
Sin información,Putaendo,0.0023,0.0,0.168
Sin información,Putaendo,0.0013,0.0,0.096
Sin información,Putaendo,0.0016,0.0,0.122
Sin información,Putaendo,-0.0083,0.0,0.0
Sin información,Putaendo,-0.0101,0.0,0.0
Sin información,Putaendo,0.0029,0.0,0.212
Sin información,Cabildo,-0.0021,0.0,0.0
Sin información,Cabildo,-0.0003,0.0,0.0
Sin información,Cabildo,0.0005,0.0,0.041
Sin información,Putaendo,-0.0046,0.0,0.0
Sin información,Putaendo,-0.0021,0.0,0.0
Sin información,Putaendo,0.0003,0.0,0.026
Sin información,Putaendo,-0.0064,0.0,0.0
Sin información,Putaendo,-0.0048,0.0,0.0
Sin información,Putaendo,-0.0058,0.0,0.0
Sin información,Putaendo,-0.0071,0.0,0.0
Sin información,Putaendo,-0.0041,0.0,0.0
Sin información,Putaendo,-0.0035,0.0,0.0
Sin información,Putaendo,0.0017,0.0,0.13
Sin información,Cabildo,-0.0017,0.0,0.0
Sin información,Putaendo,-0.0019,0.0,0.0
Sin información,Putaendo,0.0005,0.0,0.04
Sin información,Cabildo,-0.0032,0.0,0.0
Sin información,Putaendo,-0.0017,0.0,0.0
Sin información,Cabildo,-0.0013,0.0,0.0
Sin información,Cabildo,-0.0121,0.0,0.0
Sin información,Putaendo,-0.0031,0.0,0.0
Sin información,Putaendo,0.0004,0.0,0.033
Sin información,Cabildo,-0.0071,0.0,0.0
Sin información,Cabildo,-0.0003,0.0,0.0
Sin información,Cabildo,-0.0012,0.0,0.0
Sin información,Cabildo,0.0008,0.0,0.066
Sin información,Cabildo,-0.0015,0.0,0.0
Sin información,Cabildo,-0.0011,0.0,0.0
Sin información,Cabildo,0.0006,0.0,0.048
Sin información,Cabildo,-0.0021,0.0,0.0
Sin información,Cabildo,-0.0085,0.0,0.0
Sin información,Cabildo,-0.0018,0.0,0.0
Sin información,Cabildo,-0.0048,0.0,0.0
Sin información,Cabildo,0.0001,0.0,0.01
Sin información,Cabildo,0.0005,0.0,0.043
Sin información,Cabildo,-0.0008,0.0,0.0
Sin información,Cabildo,0.0003,0.0,0.027
Sin información,Cabildo,0.0034,0.0,0.248
Sin información,Cabildo,0.0012,0.0,0.094
Sin información,Putaendo,-0.0025,0.0,0.0
Sin información,Cabildo,-0.0001,0.0,0.0
Sin información,Cabildo,-0.0001,0.0,0.0
Sin información,Cabildo,-0.0013,0.0,0.0
Sin información,Cabildo,-0.0,0.0,0.004
Sin información,Cabildo,-0.0009,0.0,0.0
Sin información,Petorca,-0.0102,0.0,0.0
Sin información,Petorca,-0.0052,0.0,0.0
Sin información,Cabildo,-0.0004,0.0,0.0
Sin información,Petorca,-0.0019,0.0,0.0
Sin información,Petorca,-0.0121,0.0,0.0
Sin información,Petorca,-0.0014,0.0,0.0
Sin información,Petorca,0.0008,0.0,0.063
Sin información,Petorca,0.0013,0.0,0.095
Sin información,Petorca,-0.0061,0.0,0.0
Sin información,Petorca,-0.0022,0.0,0.0
Sin información,Petorca,-0.0091,0.0,0.0
Sin información,Petorca,-0.0021,0.0,0.0
Sin información,Petorca,-0.0004,0.0,0.0
Sin información,Petorca,-0.005,0.0,0.0
Sin información,Petorca,-0.0064,3.54,0.524
Sin información,Petorca,-0.0072,1.25,0.185
Sin información,Petorca,-0.0018,0.0,0.0
Sin información,Petorca,-0.0037,0.76,0.113
Sin información,Petorca,0.0007,0.0,0.057
Sin información,Petorca,-0.0005,2.71,0.402
Sin información,Petorca,-0.0067,0.0,0.0
Sin información,Petorca,-0.0002,0.0,0.0
Sin información,Petorca,-0.0007,0.0,0.0
Sin información,Petorca,-0.0012,0.0,0.0
Sin información,Petorca,-0.0053,0.0,0.0
Sin información,Petorca,-0.0012,0.0,0.0
Sin información,Petorca,-0.0059,0.0,0.0
Sin información,Petorca,-0.0149,0.0,0.0
Sin información,Petorca,-0.0084,0.0,0.0
Sin información,Petorca,-0.0054,0.0,0.0
Sin información,Petorca,-0.0004,0.0,0.0
Sin información,Petorca,-0.0026,0.0,0.0
Sin información,Petorca,-0.0041,0.0,0.0
Sin información,Petorca,-0.0048,0.0,0.0
Sin información,Petorca,-0.0065,0.0,0.0
Sin información,Petorca,0.0009,0.0,0.066
Sin información,Petorca,-0.0055,0.0,0.0
Sin información,Petorca,-0.0083,0.0,0.0
Sin información,Petorca,-0.0008,0.0,0.0
Sin información,Petorca,-0.0151,0.0,0.0
Sin información,Petorca,-0.0032,0.0,0.0
Sin información,Petorca,-0.0067,0.0,0.0
Sin información,Petorca,-0.005,0.0,0.0
Sin información,Petorca,-0.0089,0.0,0.0
Sin información,Petorca,-0.0086,0.0,0.0
Sin información,Petorca,-0.0054,0.0,0.0
Sin información,Petorca,-0.0045,0.0,0.0
Sin información,Petorca,-0.006,0.0,0.0
Sin información,Petorca,-0.0057,0.0,0.0
Sin información,Petorca,-0.0067,0.0,0.0
Sin información,Petorca,-0.0007,0.0,0.0
Sin información,Petorca,-0.0026,0.0,0.0
Sin información,Petorca,-0.0007,0.0,0.0
Sin información,Petorca,-0.0004,0.0,0.0
Sin información,Petorca,-0.0009,0.0,0.0
Sin información,Petorca,-0.0014,0.0,0.0
Sin información,Petorca,0.001,0.0,0.076
Sin información,Petorca,0.0008,0.0,0.062
Sin información,Petorca,0.0014,0.0,0.107
Sin información,Petorca,0.0006,0.0,0.049
Sin información,Petorca,0.0017,0.0,0.127
Sin información,Petorca,-0.0012,0.0,0.0
Sin información,Petorca,0.0017,0.0,0.128
Sin información,Petorca,-0.0014,0.0,0.0
Sin información,Petorca,-0.0006,0.0,0.0
Sin información,Petorca,-0.0065,0.0,0.0
Sin información,Los Andes,-0.0035,0.0,0.0
Sin información,Los Andes,0.0001,0.0,0.014
Sin información,Los Andes,0.0021,0.0,0.156
Sin información,Los Andes,0.0001,0.0,0.014
Sin información,Los Andes,-0.0059,0.0,0.0
Sin información,Los Andes,-0.0081,1.27,0.188
Sin información,Los Andes,-0.0028,0.64,0.096
Sin información,Los Andes,-0.0037,0.0,0.0
Sin información,Los Andes,-0.0041,0.74,0.11
Sin información,Los Andes,0.0002,0.0,0.021
Sin información,Los Andes,-0.0004,0.0,0.0
Sin información,Los Andes,0.0175,0.0,1.0
Sin información,Los Andes,-0.0011,3.43,0.509
Sin información,Los Andes,0.0003,0.0,0.024
Sin información,Los Andes,0.0067,0.0,0.485
Sin información,Los Andes,-0.0056,0.0,0.0
Sin información,Los Andes,-0.0044,3.98,0.59
Sin información,Los Andes,-0.0,0.0,0.005
Sin información,Los Andes,-0.0079,0.0,0.0
Sin información,Los Andes,-0.0052,0.0,0.0
Sin información,Los Andes,-0.0046,0.0,0.0
Sin información,Los Andes,0.0022,0.0,0.162
Sin información,Los Andes,-0.002,0.0,0.0
Sin información,Los Andes,-0.0044,0.21,0.031
Sin información,Los Andes,-0.0046,5.75,0.853
Sin información,Los Andes,-0.0051,0.0,0.0
Sin información,Los Andes,-0.0085,1.62,0.241
Sin información,Los Andes,-0.003,0.46,0.069
