nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Embalse 6 San Esteban.,San Esteban,Rio Aconcagua,Rio Aconcagua,True
Embalse 19 Rinconada,Rinconada,Rio Aconcagua,Rio Aconcagua,True
Piscina 3,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Piscina 2,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Piscina 1,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Quebrada Las Tinajas,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna Sausalito,Viña del Mar,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna El Peral,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse Quebrada El Tranque,San Antonio,Rio Maipo,Cuencas Costeras V Sur,True
Lago Peñuelas,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Humedal sector Fundo Los Arrayanes,Olmué,Rio Aconcagua,Rio Aconcagua,True
Esteros Catapilco - La Canela,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Esteros Catapilco - La Canela,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Esteros Catapilco - La Canela,Zapallar,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Esteros Catapilco - La Canela,Zapallar,,Cuencas Costeras V Norte,True
Embalse,Rinconada,Rio Aconcagua,Rio Aconcagua,True
Embalse 2 Calle Larga.,Calle Larga,Rio Aconcagua,Rio Aconcagua,True
Sector Quintay N°3,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse 17 Rinconada,Rinconada,Rio Aconcagua,Rio Aconcagua,True
Embalse 14 Rinconada,Rinconada,Rio Aconcagua,Rio Aconcagua,True
Embalse 15 Rinconada,Rinconada,Rio Aconcagua,Rio Aconcagua,True
Estero Cartagena,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Humedal sector Av. El Rincón,Villa Alemana,Rio Aconcagua,Cuencas Costeras V Sur,True
Humedales Sector Tunquen,Algarrobo,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
