row,col,lon,lat,clim_mean_mm,clim_std_mm,n_years,recent_mm,cover_days,last_day,anomaly_pct,z_score,factor_correccion,recent_v2_mm,clim_om_mean_mm,clim_om_std_mm,anomaly_v2_pct,z_v2,pctl_empirico,anhos_superados,supera_max_21a
9,5,-71.4013,-32.7399,36.41,29.13,21,187.7,17,2026-07-18T09:00,415.5,5.19,0.468,87.8,38.36,30.83,128.9,1.6,86.4,19,False
9,6,-71.2946,-32.7419,37.65,30.88,21,197.9,17,2026-07-18T09:00,425.6,5.19,0.556,110.0,39.85,33.5,176.1,2.09,86.4,19,False
9,7,-71.188,-32.7438,42.49,35.17,21,196.7,17,2026-07-18T09:00,362.9,4.38,0.571,112.3,39.85,33.5,181.8,2.16,86.4,19,False
9,8,-71.0813,-32.7456,47.28,39.58,21,185.7,17,2026-07-18T09:00,292.8,3.5,0.546,101.4,48.91,42.57,107.3,1.23,86.4,19,False
9,9,-70.9746,-32.7473,50.2,42.47,21,231.4,17,2026-07-18T09:00,361.0,4.27,0.521,120.6,48.91,42.57,146.6,1.68,86.4,19,False
9,10,-70.8679,-32.749,49.88,42.35,21,183.9,17,2026-07-18T09:00,268.7,3.16,0.54,99.3,46.75,40.83,112.4,1.29,86.4,19,False
9,11,-70.7612,-32.7505,48.6,40.32,21,183.8,17,2026-07-18T09:00,278.2,3.35,0.431,79.2,46.75,40.83,69.4,0.79,86.4,19,False
9,12,-70.6545,-32.752,47.61,40.28,21,153.5,17,2026-07-18T09:00,222.4,2.63,0.384,58.9,46.75,40.83,26.0,0.3,72.7,16,False
9,13,-70.5478,-32.7533,47.31,43.78,21,127.4,17,2026-07-18T09:00,169.3,1.83,0.361,46.0,46.75,40.83,-1.6,-0.02,54.5,12,False
9,14,-70.4411,-32.7546,48.89,47.52,21,162.4,17,2026-07-18T09:00,232.2,2.39,0.403,65.4,45.06,43.82,45.1,0.46,81.8,18,False
9,15,-70.3344,-32.7558,58.8,55.98,21,213.1,17,2026-07-18T09:00,262.4,2.76,0.435,92.7,60.45,60.34,53.4,0.53,72.7,16,False
9,16,-70.2277,-32.7569,69.71,65.82,21,213.1,17,2026-07-18T09:00,205.7,2.18,0.454,96.7,60.45,60.34,60.0,0.6,77.3,17,False
10,4,-71.5104,-32.8279,40.56,30.27,21,170.1,17,2026-07-18T09:00,319.4,4.28,0.388,66.0,38.36,30.83,72.0,0.9,86.4,19,False
10,5,-71.4037,-32.83,37.47,28.96,21,191.9,17,2026-07-18T09:00,412.1,5.33,0.528,101.3,38.36,30.83,164.1,2.04,86.4,19,False
10,6,-71.2969,-32.832,39.09,30.97,21,181.2,17,2026-07-18T09:00,363.5,4.59,0.653,118.3,39.85,33.5,196.9,2.34,90.9,20,False
10,7,-71.1902,-32.8339,44.02,35.34,21,182.0,17,2026-07-18T09:00,313.4,3.9,0.64,116.5,39.85,33.5,192.4,2.29,86.4,19,False
10,8,-71.0834,-32.8357,49.16,40.07,21,200.9,17,2026-07-18T09:00,308.7,3.79,0.571,114.7,48.91,42.57,134.5,1.55,86.4,19,False
10,9,-70.9766,-32.8375,50.9,41.75,21,200.9,17,2026-07-18T09:00,294.7,3.59,0.5,100.4,48.91,42.57,105.3,1.21,86.4,19,False
10,10,-70.8698,-32.8391,50.02,41.16,21,181.2,17,2026-07-18T09:00,262.3,3.19,0.489,88.6,46.75,40.83,89.5,1.03,86.4,19,False
10,11,-70.763,-32.8407,48.6,40.32,21,143.1,17,2026-07-18T09:00,194.4,2.34,0.463,66.3,46.75,40.83,41.8,0.48,77.3,17,False
10,12,-70.6562,-32.8421,47.61,40.28,21,153.5,17,2026-07-18T09:00,222.4,2.63,0.391,60.0,46.75,40.83,28.3,0.32,72.7,16,False
10,13,-70.5494,-32.8435,47.31,43.78,21,149.8,17,2026-07-18T09:00,216.6,2.34,0.352,52.7,46.75,40.83,12.7,0.15,63.6,14,False
10,14,-70.4426,-32.8448,48.89,47.52,21,123.0,17,2026-07-18T09:00,151.6,1.56,0.397,48.8,45.06,43.82,8.3,0.09,54.5,12,False
10,15,-70.3357,-32.846,58.8,55.98,21,147.0,17,2026-07-18T09:00,150.0,1.58,0.433,63.7,60.45,60.34,5.4,0.05,59.1,13,False
10,16,-70.2289,-32.847,69.71,65.82,21,254.9,17,2026-07-18T09:00,265.7,2.81,0.453,115.5,60.45,60.34,91.1,0.91,77.3,17,False
10,17,-70.1221,-32.8481,80.63,76.17,21,239.4,17,2026-07-18T09:00,196.9,2.08,0.466,111.6,60.45,60.34,84.6,0.85,77.3,17,False
11,5,-71.4061,-32.9201,37.96,27.94,21,194.2,17,2026-07-18T09:00,411.6,5.59,0.628,122.0,40.84,29.94,198.7,2.71,95.5,21,True
11,6,-71.2993,-32.9221,39.69,30.01,21,194.2,17,2026-07-18T09:00,389.3,5.15,0.744,144.5,42.48,32.07,240.2,3.18,95.5,21,True
11,7,-71.1924,-32.9241,45.24,34.87,21,182.0,17,2026-07-18T09:00,302.3,3.92,0.695,126.5,42.48,32.07,197.8,2.62,95.5,21,True
11,8,-71.0855,-32.9259,51.17,40.39,21,168.1,17,2026-07-18T09:00,228.5,2.9,0.635,106.7,54.49,43.88,95.8,1.19,81.8,18,False
11,9,-70.9786,-32.9276,53.64,42.81,21,191.2,17,2026-07-18T09:00,256.5,3.21,0.548,104.8,54.49,43.88,92.3,1.15,81.8,18,False
11,10,-70.8717,-32.9293,51.17,40.79,21,167.0,17,2026-07-18T09:00,226.4,2.84,0.496,82.8,45.8,37.35,80.8,0.99,86.4,19,False
11,11,-70.7648,-32.9308,48.73,39.12,21,167.0,17,2026-07-18T09:00,242.7,3.02,0.49,81.8,45.8,37.35,78.6,0.96,86.4,19,False
11,12,-70.6579,-32.9323,47.21,38.62,21,140.4,17,2026-07-18T09:00,197.4,2.41,0.444,62.3,45.8,37.35,36.0,0.44,72.7,16,False
11,13,-70.551,-32.9337,47.77,40.59,21,140.4,17,2026-07-18T09:00,193.9,2.28,0.418,58.7,48.55,44.03,20.9,0.23,59.1,13,False
11,14,-70.444,-32.9349,51.2,48.41,21,111.5,17,2026-07-18T09:00,117.8,1.25,0.427,47.6,48.55,44.03,-2.0,-0.02,54.5,12,False
11,15,-70.3371,-32.9361,61.34,57.02,21,147.0,17,2026-07-18T09:00,139.6,1.5,0.446,65.6,48.55,44.03,35.1,0.39,68.2,15,False
11,16,-70.2301,-32.9372,72.77,67.06,21,218.0,17,2026-07-18T09:00,199.6,2.17,0.46,100.3,67.37,63.02,48.9,0.52,72.7,16,False
11,17,-70.1232,-32.9382,82.01,75.73,21,240.6,17,2026-07-18T09:00,193.4,2.09,0.47,113.1,81.07,76.01,39.5,0.42,68.2,15,False
11,18,-70.0162,-32.9392,80.17,74.82,21,243.6,17,2026-07-18T09:00,203.9,2.18,0.477,116.2,81.07,76.01,43.3,0.46,68.2,15,False
12,4,-71.5155,-33.0081,40.79,28.47,21,180.5,17,2026-07-18T09:00,342.5,4.91,0.612,110.5,40.84,29.94,170.5,2.33,90.9,20,False
12,5,-71.4086,-33.0102,39.52,27.92,21,204.2,17,2026-07-18T09:00,416.7,5.9,0.622,127.0,40.84,29.94,210.9,2.88,95.5,21,True
12,6,-71.3016,-33.0123,40.58,29.46,21,186.6,17,2026-07-18T09:00,359.8,4.96,0.648,120.9,42.48,32.07,184.6,2.45,95.5,21,True
12,7,-71.1946,-33.0142,46.95,35.07,21,191.2,17,2026-07-18T09:00,307.2,4.11,0.672,128.5,42.48,32.07,202.5,2.68,95.5,21,True
12,8,-71.0876,-33.016,52.95,40.8,21,190.4,17,2026-07-18T09:00,259.6,3.37,0.788,150.0,54.49,43.88,175.3,2.18,90.9,20,False
12,14,-70.4455,-33.0251,54.57,49.83,21,147.0,17,2026-07-18T09:00,169.4,1.85,0.461,67.8,48.55,44.03,39.7,0.44,68.2,15,False
12,15,-70.3385,-33.0263,63.76,58.1,21,190.7,17,2026-07-18T09:00,199.1,2.18,0.465,88.7,67.37,63.02,31.7,0.34,68.2,15,False
12,16,-70.2314,-33.0274,75.68,68.33,21,229.7,17,2026-07-18T09:00,203.5,2.25,0.471,108.2,67.37,63.02,60.6,0.65,72.7,16,False
12,17,-70.1243,-33.0284,84.91,76.77,21,240.6,17,2026-07-18T09:00,183.4,2.03,0.477,114.8,81.07,76.01,41.6,0.44,68.2,15,False
13,2,-71.7322,-33.0937,49.97,34.76,21,181.1,17,2026-07-18T09:00,262.4,3.77,0.562,101.8,40.84,29.94,149.2,2.04,90.9,20,False
13,3,-71.6252,-33.096,47.97,33.35,21,220.7,17,2026-07-18T09:00,360.1,5.18,0.577,127.3,40.84,29.94,211.7,2.89,95.5,21,True
13,4,-71.5181,-33.0982,43.59,30.28,21,260.1,17,2026-07-18T09:00,496.7,7.15,0.589,153.2,40.84,29.94,275.1,3.75,95.5,21,True
13,5,-71.411,-33.1004,40.05,27.97,21,204.2,17,2026-07-18T09:00,409.9,5.87,0.601,122.7,40.84,29.94,200.4,2.73,95.5,21,True
13,6,-71.3039,-33.1024,41.4,29.48,21,199.0,17,2026-07-18T09:00,380.7,5.35,0.615,122.4,42.48,32.07,188.1,2.49,95.5,21,True
13,7,-71.1969,-33.1043,47.82,35.61,21,186.7,17,2026-07-18T09:00,290.4,3.9,0.657,122.7,42.48,32.07,188.8,2.5,95.5,21,True
13,8,-71.0898,-33.1062,54.29,42.43,21,218.2,17,2026-07-18T09:00,301.9,3.86,0.784,171.1,54.49,43.88,214.0,2.66,95.5,21,True
13,16,-70.2327,-33.1176,77.21,68.6,21,268.9,17,2026-07-18T09:00,248.3,2.79,0.483,129.9,67.37,63.02,92.8,0.99,77.3,17,False
14,3,-71.6278,-33.1861,48.2,34.03,21,214.8,17,2026-07-18T09:00,345.6,4.9,0.562,120.7,42.95,30.54,181.0,2.55,90.9,20,False
14,4,-71.5207,-33.1884,44.1,30.59,21,240.8,17,2026-07-18T09:00,446.0,6.43,0.572,137.7,42.95,30.54,220.6,3.1,95.5,21,True
14,5,-71.4135,-33.1905,40.05,27.59,21,227.0,17,2026-07-18T09:00,466.8,6.78,0.577,131.0,42.95,30.54,205.0,2.88,95.5,21,True
14,6,-71.3063,-33.1925,42.68,30.4,21,196.7,17,2026-07-18T09:00,360.9,5.07,0.589,115.9,44.79,34.08,158.8,2.09,90.9,20,False
14,7,-71.1991,-33.1945,48.53,36.65,21,196.7,17,2026-07-18T09:00,305.3,4.04,0.619,121.8,44.79,34.08,171.9,2.26,90.9,20,False
14,8,-71.0919,-33.1963,54.94,44.13,21,191.2,17,2026-07-18T09:00,248.0,3.09,0.671,128.3,56.42,48.71,127.4,1.48,86.4,19,False
15,3,-71.6305,-33.2763,48.38,34.16,21,199.3,17,2026-07-18T09:00,311.9,4.42,0.521,103.8,42.95,30.54,141.7,1.99,90.9,20,False
15,4,-71.5233,-33.2785,44.7,30.85,21,199.3,17,2026-07-18T09:00,345.9,5.01,0.527,105.0,42.95,30.54,144.5,2.03,90.9,20,False
15,5,-71.416,-33.2806,41.04,28.11,21,217.6,17,2026-07-18T09:00,430.2,6.28,0.534,116.2,42.95,30.54,170.5,2.4,90.9,20,False
15,6,-71.3087,-33.2826,43.07,30.82,21,201.1,17,2026-07-18T09:00,366.9,5.13,0.549,110.4,44.79,34.08,146.5,1.93,90.9,20,False
16,3,-71.6333,-33.3664,49.04,34.4,21,147.6,17,2026-07-18T09:00,201.0,2.87,0.461,68.0,45.35,33.39,50.0,0.68,77.3,17,False
16,4,-71.5259,-33.3686,45.59,31.83,21,169.7,17,2026-07-18T09:00,272.2,3.9,0.454,77.0,42.95,30.54,79.3,1.11,86.4,19,False
16,5,-71.4185,-33.3707,42.69,29.88,21,198.1,17,2026-07-18T09:00,364.0,5.2,0.467,92.5,42.95,30.54,115.4,1.62,86.4,19,False
16,6,-71.3111,-33.3728,44.04,32.03,21,197.7,17,2026-07-18T09:00,348.9,4.8,0.496,98.1,44.79,34.08,119.0,1.56,86.4,19,False
17,3,-71.636,-33.4565,49.5,34.21,21,142.9,17,2026-07-18T09:00,188.7,2.73,0.406,58.0,45.35,33.39,27.9,0.38,77.3,17,False
17,4,-71.5285,-33.4587,46.43,32.56,21,153.4,17,2026-07-18T09:00,230.4,3.29,0.384,58.9,45.35,33.39,29.9,0.41,77.3,17,False
17,5,-71.421,-33.4608,43.21,31.0,21,182.8,17,2026-07-18T09:00,323.1,4.5,0.4,73.1,45.35,33.39,61.2,0.83,81.8,18,False
18,4,-71.5311,-33.5488,46.43,32.56,21,170.3,17,2026-07-18T09:00,266.8,3.8,0.364,62.0,45.35,33.39,36.7,0.5,77.3,17,False
18,5,-71.4235,-33.551,44.64,32.17,21,170.3,17,2026-07-18T09:00,281.5,3.91,0.378,64.4,45.35,33.39,42.0,0.57,77.3,17,False
19,4,-71.5337,-33.6389,47.06,32.42,21,154.1,17,2026-07-18T09:00,227.5,3.3,0.368,56.7,45.71,31.31,24.0,0.35,68.2,15,False
19,5,-71.426,-33.6411,44.64,32.17,21,156.3,17,2026-07-18T09:00,250.1,3.47,0.387,60.5,45.71,31.31,32.3,0.47,77.3,17,False
20,3,-71.6442,-33.7268,48.77,32.06,21,161.3,17,2026-07-18T09:00,230.7,3.51,0.369,59.5,47.0,31.35,26.6,0.4,63.6,14,False
20,4,-71.5364,-33.729,48.16,32.25,21,161.5,17,2026-07-18T09:00,235.3,3.51,0.375,60.6,45.71,31.31,32.6,0.48,77.3,17,False
20,5,-71.4285,-33.7312,47.97,33.67,21,152.2,17,2026-07-18T09:00,217.3,3.1,0.396,60.3,45.71,31.31,31.9,0.47,77.3,17,False
21,2,-71.7549,-33.8145,49.73,31.22,21,116.4,17,2026-07-18T09:00,134.1,2.14,0.4,46.6,47.0,31.35,-0.8,-0.01,50.0,11,False
21,3,-71.647,-33.8169,49.28,31.46,21,161.3,17,2026-07-18T09:00,227.3,3.56,0.391,63.1,47.0,31.35,34.3,0.51,72.7,16,False
22,2,-71.7578,-33.9046,52.79,32.4,21,135.1,17,2026-07-18T09:00,155.9,2.54,0.416,56.2,53.56,32.67,4.9,0.08,59.1,13,False
22,3,-71.6498,-33.9069,50.95,32.06,21,167.2,17,2026-07-18T09:00,228.2,3.63,0.412,68.9,53.56,32.67,28.6,0.47,68.2,15,False
