nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,anomaly_pct,z_score,recent_mm,clim_mean_mm
Embalse 9 San Esteban.,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.272837153789,2727.6865387,HPU-05-11,55996,05,169.3,1.83,127.4,47.31
Embalse 2 Santa María,Valparaíso,Santa María,Humedal asociado a límite urbano,0.520931170581,5208.2684521,HPU-05-12,55997,05,222.4,2.63,153.5,47.61
Embalse Putaendo,Valparaíso,Putaendo,Humedal no asociado a límite urbano,2.54917159927,25487.7649362,HPU-05-13,55998,05,273.0,3.2,183.8,49.28
Embalse Sector Nogales,Valparaíso,Nogales,Humedal no asociado a límite urbano,1.06632379581,10666.0838846,HPU-05-14,55999,05,362.9,4.38,196.7,42.49
Embalse Putaendo 2,Valparaíso,Putaendo,Humedal no asociado a límite urbano,2.86798876095,28675.4129344,HPU-05-16,56000,05,273.0,3.2,183.8,49.28
Embalse sector Limache,Valparaíso,Limache,Humedal no asociado a límite urbano,0.670582967583,6707.71144772,HPU-05-17,56001,05,307.2,4.11,191.2,46.95
Embalse Llay Llay 1,Valparaíso,Llaillay,Humedal no asociado a límite urbano,2.51225065916,25123.777027,HPU-05-18,56002,05,294.7,3.59,200.9,50.9
Embalse 2 Los Andes,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.519967976031,5198.33131671,HPU-05-20,56003,05,216.6,2.34,149.8,47.31
Embalse 9 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.113787359981,1137.61301121,HPU-05-21,56004,05,222.4,2.63,153.5,47.61
Embalse 4 Los Andes,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.966132589036,9658.84093062,HPU-05-22,56005,05,216.6,2.34,149.8,47.31
Embalse 8 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.103018413527,1029.94598452,HPU-05-23,56006,05,222.4,2.63,153.5,47.61
Embalse 6 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.566526845489,5663.96733374,HPU-05-24,56007,05,222.4,2.63,153.5,47.61
Embalse 7 Los Andes,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0806066644599,805.88219735,HPU-05-25,56008,05,222.4,2.63,153.5,47.61
Laguna Quebrada Cruz de Piedra,Valparaíso,Papudo,Humedal asociado a límite urbano,4.02206648338,40239.9700323,HUR-05-03,56131,05,496.8,5.95,183.4,30.73
Humedal Sector Quebrada El Tigre,Valparaíso,Zapallar,Humedal asociado a límite urbano,6.70128497978,67045.7488421,HUR-05-04,56132,05,473.7,5.71,184.0,32.07
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.892284113469,8921.29335755,HUR-05-09,56133,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Calle Larga,Humedal asociado a límite urbano,0.259465301985,2594.129493,HUR-05-10,56134,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.808223544585,8080.62982664,HUR-05-10,56135,05,222.4,2.63,153.5,47.61
Quebrada Lance Bravo Norte,Valparaíso,Algarrobo,Humedal asociado a límite urbano,2.67587953743,26777.814926,HUR-05-100,56136,05,201.0,2.87,147.6,49.04
Embalse Sector Hijuelas,Valparaíso,La Cruz,Humedal no asociado a límite urbano,0.411620832319,4117.19180612,HUR-05-105,56137,05,313.4,3.9,182.0,44.02
Embalse Los Culenes,Valparaíso,Papudo,Humedal no asociado a límite urbano,11.6308719149,116354.027939,HUR-05-113,56138,05,496.8,5.95,183.4,30.73
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,1.67869707709,16791.8942413,HUR-05-116,56139,05,524.3,6.21,209.5,33.56
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,0.628458743821,6286.41624609,HUR-05-117,56140,05,524.3,6.21,209.5,33.56
Embalse,Valparaíso,La Ligua,Humedal no asociado a límite urbano,0.598304160742,5984.86381482,HUR-05-118,56141,05,524.3,6.21,209.5,33.56
Embalse,Valparaíso,Papudo,Humedal no asociado a límite urbano,4.43013359796,44319.7939716,HUR-05-119,56142,05,496.8,5.95,183.4,30.73
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.233117378231,2330.55335307,HUR-05-12,56143,05,216.6,2.34,149.8,47.31
Embalse Estero Las Salinas 1,Valparaíso,Papudo,Humedal no asociado a límite urbano,2.7530878466,27541.8767866,HUR-05-120,56144,05,496.8,5.95,183.4,30.73
Embalse Estero Las Salinas 2,Valparaíso,Papudo,Humedal no asociado a límite urbano,0.933217772635,9335.89531964,HUR-05-121,56145,05,496.8,5.95,183.4,30.73
Embalse Estero Las Salinas 3,Valparaíso,Papudo,Humedal no asociado a límite urbano,1.23768138451,12381.8274763,HUR-05-122,56146,05,496.8,5.95,183.4,30.73
Humedal sin identificar,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,1.04296999878,10434.8368152,HUR-05-127,56147,05,415.5,5.19,187.7,36.41
Humedal Laguna El Criquet,Valparaíso,Valparaíso,Humedal asociado a límite urbano,1.42442518918,14254.2250135,HUR-05-128,56148,05,360.1,5.18,220.7,47.97
Sector Quintay N°2,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.303578037413,3038.10213597,HUR-05-129,56149,05,345.6,4.9,214.8,48.2
Embalse,Valparaíso,Calle Larga,Humedal asociado a límite urbano,1.10036775031,11000.8052603,HUR-05-13,56150,05,216.6,2.34,149.8,47.31
Sector Punta de Tralca N°2,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.325358800653,3255.97190639,HUR-05-133,56151,05,188.7,2.73,142.9,49.5
Laguna Sector  Marbella,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,0.436317127676,4365.24615279,HUR-05-134,56152,05,473.7,5.71,184.0,32.07
Humedal Av. Punta Puyai,Valparaíso,Papudo,Humedal asociado a límite urbano,0.879386353465,8798.0802621,HUR-05-135,56153,05,496.8,5.95,183.4,30.73
Embalse 8 Rinconada.,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.886595425009,8864.37960459,HUR-05-136,56154,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.53773960149,15373.4147065,HUR-05-14,56155,05,216.6,2.34,149.8,47.31
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.34141011567,13410.8468209,HUR-05-15,56156,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,4.05692908548,40559.0843703,HUR-05-16,56157,05,193.9,2.28,140.4,47.77
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.267704633742,2676.37892128,HUR-05-17,56158,05,193.9,2.28,140.4,47.77
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.06532006938,10651.017475,HUR-05-19,56159,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.741124119733,7409.99369567,HUR-05-20,56160,05,194.4,2.34,143.1,48.6
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.959482756948,9592.77501566,HUR-05-22,56161,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Llaillay,Humedal no asociado a límite urbano,1.2709329741,12710.0562289,HUR-05-23,56162,05,294.7,3.59,200.9,50.9
